county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,736936.0,134282.0,230411.0,2142850.0
Appling,-1.0,-1.0,-1.0,-1.0
Atkinson,-1.0,-1.0,-1.0,-1.0
Bacon,-1.0,-1.0,-1.0,-1.0
Baker,-1.0,-1.0,-1.0,-1.0
Baldwin,-1.0,-1.0,-1.0,-1.0
Banks,-1.0,-1.0,-1.0,-1.0
Barrow,-1.0,-1.0,-1.0,-1.0
Bartow,-1.0,-1.0,-1.0,-1.0
Ben Hill,-1.0,-1.0,-1.0,-1.0
Berrien,-1.0,-1.0,-1.0,-1.0
Bibb,-1.0,-1.0,-1.0,-1.0
Bleckley,-1.0,-1.0,-1.0,-1.0
Brantley,-1.0,-1.0,-1.0,-1.0
Brooks,-1.0,-1.0,-1.0,-1.0
Bryan,-1.0,-1.0,-1.0,-1.0
Bulloch,-1.0,-1.0,-1.0,-1.0
Burke,-1.0,-1.0,-1.0,-1.0
Butts,-1.0,-1.0,-1.0,-1.0
Calhoun,-1.0,-1.0,-1.0,-1.0
Camden,-1.0,-1.0,-1.0,-1.0
Candler,-1.0,-1.0,-1.0,-1.0
Carroll,-1.0,-1.0,-1.0,-1.0
Catoosa,-1.0,-1.0,-1.0,-1.0
Charlton,-1.0,-1.0,-1.0,-1.0
Chatham,17273.0,4873.0,7023.0,43601.0
Chattahoochee,-1.0,-1.0,-1.0,-1.0
Chattooga,-1.0,-1.0,-1.0,-1.0
Cherokee,-1.0,-1.0,-1.0,-1.0
Clarke,-1.0,-1.0,-1.0,-1.0
Clay,-1.0,-1.0,-1.0,-1.0
Clayton,25750.0,6625.0,9000.0,62477.0
Clinch,-1.0,-1.0,-1.0,-1.0
Cobb,29747.0,7786.0,12940.0,188344.0
Coffee,-1.0,-1.0,-1.0,-1.0
Colquitt,-1.0,-1.0,-1.0,-1.0
Columbia,-1.0,-1.0,-1.0,-1.0
Cook,-1.0,-1.0,-1.0,-1.0
Coweta,-1.0,-1.0,-1.0,-1.0
Crawford,-1.0,-1.0,-1.0,-1.0
Crisp,-1.0,-1.0,-1.0,-1.0
Dade,-1.0,-1.0,-1.0,-1.0
Dawson,-1.0,-1.0,-1.0,-1.0
Decatur,-1.0,-1.0,-1.0,-1.0
DeKalb,40585.0,9277.0,16351.0,132618.0
Dodge,-1.0,-1.0,-1.0,-1.0
Dooly,-1.0,-1.0,-1.0,-1.0
Dougherty,-1.0,-1.0,-1.0,-1.0
Douglas,-1.0,-1.0,-1.0,-1.0
Early,-1.0,-1.0,-1.0,-1.0
Echols,-1.0,-1.0,-1.0,-1.0
Effingham,-1.0,-1.0,-1.0,-1.0
Elbert,-1.0,-1.0,-1.0,-1.0
Emanuel,-1.0,-1.0,-1.0,-1.0
Evans,-1.0,-1.0,-1.0,-1.0
Fannin,-1.0,-1.0,-1.0,-1.0
Fayette,-1.0,-1.0,-1.0,-1.0
Floyd,-1.0,-1.0,-1.0,-1.0
Forsyth,-1.0,-1.0,-1.0,-1.0
Franklin,-1.0,-1.0,-1.0,-1.0
Fulton,52534.0,7828.0,10118.0,183841.0
Gilmer,-1.0,-1.0,-1.0,-1.0
Glascock,-1.0,-1.0,-1.0,-1.0
Glynn,-1.0,-1.0,-1.0,-1.0
Gordon,-1.0,-1.0,-1.0,-1.0
Grady,-1.0,-1.0,-1.0,-1.0
Greene,-1.0,-1.0,-1.0,-1.0
Gwinnett,50876.0,9883.0,23648.0,254100.0
Habersham,-1.0,-1.0,-1.0,-1.0
Hall,-1.0,-1.0,-1.0,-1.0
Hancock,-1.0,-1.0,-1.0,-1.0
Haralson,-1.0,-1.0,-1.0,-1.0
Harris,-1.0,-1.0,-1.0,-1.0
Hart,-1.0,-1.0,-1.0,-1.0
Heard,-1.0,-1.0,-1.0,-1.0
Henry,-1.0,-1.0,-1.0,-1.0
Houston,-1.0,-1.0,-1.0,-1.0
Irwin,-1.0,-1.0,-1.0,-1.0
Jackson,-1.0,-1.0,-1.0,-1.0
Jasper,-1.0,-1.0,-1.0,-1.0
Jeff Davis,-1.0,-1.0,-1.0,-1.0
Jefferson,-1.0,-1.0,-1.0,-1.0
Jenkins,-1.0,-1.0,-1.0,-1.0
Johnson,-1.0,-1.0,-1.0,-1.0
Jones,-1.0,-1.0,-1.0,-1.0
Lamar,-1.0,-1.0,-1.0,-1.0
Lanier,-1.0,-1.0,-1.0,-1.0
Laurens,-1.0,-1.0,-1.0,-1.0
Lee,-1.0,-1.0,-1.0,-1.0
Liberty,-1.0,-1.0,-1.0,-1.0
Lincoln,-1.0,-1.0,-1.0,-1.0
Long,-1.0,-1.0,-1.0,-1.0
Lowndes,-1.0,-1.0,-1.0,-1.0
Lumpkin,-1.0,-1.0,-1.0,-1.0
McDuffie,-1.0,-1.0,-1.0,-1.0
McIntosh,-1.0,-1.0,-1.0,-1.0
Macon,-1.0,-1.0,-1.0,-1.0
Madison,-1.0,-1.0,-1.0,-1.0
Marion,-1.0,-1.0,-1.0,-1.0
Meriwether,-1.0,-1.0,-1.0,-1.0
Miller,-1.0,-1.0,-1.0,-1.0
Mitchell,-1.0,-1.0,-1.0,-1.0
Monroe,-1.0,-1.0,-1.0,-1.0
Montgomery,-1.0,-1.0,-1.0,-1.0
Morgan,-1.0,-1.0,-1.0,-1.0
Murray,-1.0,-1.0,-1.0,-1.0
Muscogee,16954.0,1570.0,6214.0,40696.0
Newton,-1.0,-1.0,-1.0,-1.0
Oconee,-1.0,-1.0,-1.0,-1.0
Oglethorpe,-1.0,-1.0,-1.0,-1.0
Paulding,-1.0,-1.0,-1.0,-1.0
Peach,-1.0,-1.0,-1.0,-1.0
Pickens,-1.0,-1.0,-1.0,-1.0
Pierce,-1.0,-1.0,-1.0,-1.0
Pike,-1.0,-1.0,-1.0,-1.0
Polk,-1.0,-1.0,-1.0,-1.0
Pulaski,-1.0,-1.0,-1.0,-1.0
Putnam,-1.0,-1.0,-1.0,-1.0
Quitman,-1.0,-1.0,-1.0,-1.0
Rabun,-1.0,-1.0,-1.0,-1.0
Randolph,-1.0,-1.0,-1.0,-1.0
Richmond,21838.0,3839.0,6328.0,30502.0
Rockdale,-1.0,-1.0,-1.0,-1.0
Schley,-1.0,-1.0,-1.0,-1.0
Screven,-1.0,-1.0,-1.0,-1.0
Seminole,-1.0,-1.0,-1.0,-1.0
Spalding,-1.0,-1.0,-1.0,-1.0
Stephens,-1.0,-1.0,-1.0,-1.0
Stewart,-1.0,-1.0,-1.0,-1.0
Sumter,-1.0,-1.0,-1.0,-1.0
Talbot,-1.0,-1.0,-1.0,-1.0
Taliaferro,-1.0,-1.0,-1.0,-1.0
Tattnall,-1.0,-1.0,-1.0,-1.0
Taylor,-1.0,-1.0,-1.0,-1.0
Telfair,-1.0,-1.0,-1.0,-1.0
Terrell,-1.0,-1.0,-1.0,-1.0
Thomas,-1.0,-1.0,-1.0,-1.0
Tift,-1.0,-1.0,-1.0,-1.0
Toombs,-1.0,-1.0,-1.0,-1.0
Towns,-1.0,-1.0,-1.0,-1.0
Treutlen,-1.0,-1.0,-1.0,-1.0
Troup,-1.0,-1.0,-1.0,-1.0
Turner,-1.0,-1.0,-1.0,-1.0
Twiggs,-1.0,-1.0,-1.0,-1.0
Union,-1.0,-1.0,-1.0,-1.0
Upson,-1.0,-1.0,-1.0,-1.0
Walker,-1.0,-1.0,-1.0,-1.0
Walton,-1.0,-1.0,-1.0,-1.0
Ware,-1.0,-1.0,-1.0,-1.0
Warren,-1.0,-1.0,-1.0,-1.0
Washington,-1.0,-1.0,-1.0,-1.0
Wayne,-1.0,-1.0,-1.0,-1.0
Webster,-1.0,-1.0,-1.0,-1.0
Wheeler,-1.0,-1.0,-1.0,-1.0
White,-1.0,-1.0,-1.0,-1.0
Whitfield,-1.0,-1.0,-1.0,-1.0
Wilcox,-1.0,-1.0,-1.0,-1.0
Wilkes,-1.0,-1.0,-1.0,-1.0
Wilkinson,-1.0,-1.0,-1.0,-1.0
Worth,-1.0,-1.0,-1.0,-1.0
