county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,718487.0,138553.0,238601.0,2162433.0
Appling,-1.0,-1.0,-1.0,-1.0
Atkinson,-1.0,-1.0,-1.0,-1.0
Bacon,-1.0,-1.0,-1.0,-1.0
Baker,-1.0,-1.0,-1.0,-1.0
Baldwin,-1.0,-1.0,-1.0,-1.0
Banks,-1.0,-1.0,-1.0,-1.0
Barrow,-1.0,-1.0,-1.0,-1.0
Bartow,6824.0,1149.0,2427.0,24797.0
Ben Hill,-1.0,-1.0,-1.0,-1.0
Berrien,-1.0,-1.0,-1.0,-1.0
Bibb,15961.0,1713.0,3290.0,24956.0
Bleckley,-1.0,-1.0,-1.0,-1.0
Brantley,-1.0,-1.0,-1.0,-1.0
Brooks,-1.0,-1.0,-1.0,-1.0
Bryan,-1.0,-1.0,-1.0,-1.0
Bulloch,-1.0,-1.0,-1.0,-1.0
Burke,-1.0,-1.0,-1.0,-1.0
Butts,-1.0,-1.0,-1.0,-1.0
Calhoun,-1.0,-1.0,-1.0,-1.0
Camden,-1.0,-1.0,-1.0,-1.0
Candler,-1.0,-1.0,-1.0,-1.0
Carroll,8012.0,1378.0,2850.0,27559.0
Catoosa,4610.0,746.0,1529.0,16727.0
Charlton,-1.0,-1.0,-1.0,-1.0
Chatham,17388.0,3388.0,7689.0,44624.0
Chattahoochee,-1.0,-1.0,-1.0,-1.0
Chattooga,-1.0,-1.0,-1.0,-1.0
Cherokee,8639.0,2789.0,4550.0,67884.0
Clarke,7857.0,1063.0,1580.0,15102.0
Clay,-1.0,-1.0,-1.0,-1.0
Clayton,26134.0,5582.0,9778.0,61804.0
Clinch,-1.0,-1.0,-1.0,-1.0
Cobb,29911.0,7579.0,12621.0,190955.0
Coffee,5641.0,892.0,1433.0,7536.0
Colquitt,-1.0,-1.0,-1.0,-1.0
Columbia,3656.0,1690.0,1715.0,34741.0
Cook,-1.0,-1.0,-1.0,-1.0
Coweta,6954.0,1675.0,1925.0,36000.0
Crawford,-1.0,-1.0,-1.0,-1.0
Crisp,-1.0,-1.0,-1.0,-1.0
Dade,-1.0,-1.0,-1.0,-1.0
Dawson,-1.0,-1.0,-1.0,-1.0
Decatur,-1.0,-1.0,-1.0,-1.0
DeKalb,47212.0,10251.0,15662.0,136965.0
Dodge,-1.0,-1.0,-1.0,-1.0
Dooly,-1.0,-1.0,-1.0,-1.0
Dougherty,10914.0,1324.0,3610.0,15984.0
Douglas,8056.0,1891.0,3072.0,35011.0
Early,-1.0,-1.0,-1.0,-1.0
Echols,-1.0,-1.0,-1.0,-1.0
Effingham,-1.0,-1.0,-1.0,-1.0
Elbert,-1.0,-1.0,-1.0,-1.0
Emanuel,-1.0,-1.0,-1.0,-1.0
Evans,-1.0,-1.0,-1.0,-1.0
Fannin,-1.0,-1.0,-1.0,-1.0
Fayette,-1.0,-1.0,-1.0,-1.0
Floyd,8550.0,837.0,2435.0,17229.0
Forsyth,5301.0,1891.0,1806.0,57819.0
Franklin,-1.0,-1.0,-1.0,-1.0
Fulton,53318.0,8426.0,12842.0,182371.0
Gilmer,-1.0,-1.0,-1.0,-1.0
Glascock,-1.0,-1.0,-1.0,-1.0
Glynn,-1.0,-1.0,-1.0,-1.0
Gordon,-1.0,-1.0,-1.0,-1.0
Grady,-1.0,-1.0,-1.0,-1.0
Greene,-1.0,-1.0,-1.0,-1.0
Gwinnett,47248.0,11727.0,21102.0,248454.0
Habersham,-1.0,-1.0,-1.0,-1.0
Hall,12965.0,2932.0,7720.0,39515.0
Hancock,-1.0,-1.0,-1.0,-1.0
Haralson,-1.0,-1.0,-1.0,-1.0
Harris,-1.0,-1.0,-1.0,-1.0
Hart,-1.0,-1.0,-1.0,-1.0
Heard,-1.0,-1.0,-1.0,-1.0
Henry,8889.0,2112.0,4566.0,66464.0
Houston,8980.0,1584.0,2895.0,33583.0
Irwin,-1.0,-1.0,-1.0,-1.0
Jackson,-1.0,-1.0,-1.0,-1.0
Jasper,-1.0,-1.0,-1.0,-1.0
Jeff Davis,-1.0,-1.0,-1.0,-1.0
Jefferson,-1.0,-1.0,-1.0,-1.0
Jenkins,-1.0,-1.0,-1.0,-1.0
Johnson,-1.0,-1.0,-1.0,-1.0
Jones,-1.0,-1.0,-1.0,-1.0
Lamar,-1.0,-1.0,-1.0,-1.0
Lanier,-1.0,-1.0,-1.0,-1.0
Laurens,5140.0,1234.0,1071.0,8945.0
Lee,-1.0,-1.0,-1.0,-1.0
Liberty,7430.0,1458.0,2719.0,14660.0
Lincoln,-1.0,-1.0,-1.0,-1.0
Long,-1.0,-1.0,-1.0,-1.0
Lowndes,10450.0,1177.0,3465.0,21565.0
Lumpkin,-1.0,-1.0,-1.0,-1.0
McDuffie,-1.0,-1.0,-1.0,-1.0
McIntosh,-1.0,-1.0,-1.0,-1.0
Macon,-1.0,-1.0,-1.0,-1.0
Madison,-1.0,-1.0,-1.0,-1.0
Marion,-1.0,-1.0,-1.0,-1.0
Meriwether,-1.0,-1.0,-1.0,-1.0
Miller,-1.0,-1.0,-1.0,-1.0
Mitchell,-1.0,-1.0,-1.0,-1.0
Monroe,-1.0,-1.0,-1.0,-1.0
Montgomery,-1.0,-1.0,-1.0,-1.0
Morgan,-1.0,-1.0,-1.0,-1.0
Murray,-1.0,-1.0,-1.0,-1.0
Muscogee,20179.0,2096.0,4557.0,37649.0
Newton,6625.0,1773.0,2727.0,28914.0
Oconee,-1.0,-1.0,-1.0,-1.0
Oglethorpe,-1.0,-1.0,-1.0,-1.0
Paulding,8407.0,2070.0,4072.0,47535.0
Peach,-1.0,-1.0,-1.0,-1.0
Pickens,-1.0,-1.0,-1.0,-1.0
Pierce,-1.0,-1.0,-1.0,-1.0
Pike,-1.0,-1.0,-1.0,-1.0
Polk,-1.0,-1.0,-1.0,-1.0
Pulaski,-1.0,-1.0,-1.0,-1.0
Putnam,-1.0,-1.0,-1.0,-1.0
Quitman,-1.0,-1.0,-1.0,-1.0
Rabun,-1.0,-1.0,-1.0,-1.0
Randolph,-1.0,-1.0,-1.0,-1.0
Richmond,23546.0,3770.0,5668.0,31198.0
Rockdale,5525.0,1227.0,2615.0,20413.0
Schley,-1.0,-1.0,-1.0,-1.0
Screven,-1.0,-1.0,-1.0,-1.0
Seminole,-1.0,-1.0,-1.0,-1.0
Spalding,6611.0,1101.0,1615.0,12850.0
Stephens,-1.0,-1.0,-1.0,-1.0
Stewart,-1.0,-1.0,-1.0,-1.0
Sumter,-1.0,-1.0,-1.0,-1.0
Talbot,-1.0,-1.0,-1.0,-1.0
Taliaferro,-1.0,-1.0,-1.0,-1.0
Tattnall,-1.0,-1.0,-1.0,-1.0
Taylor,-1.0,-1.0,-1.0,-1.0
Telfair,-1.0,-1.0,-1.0,-1.0
Terrell,-1.0,-1.0,-1.0,-1.0
Thomas,-1.0,-1.0,-1.0,-1.0
Tift,-1.0,-1.0,-1.0,-1.0
Toombs,-1.0,-1.0,-1.0,-1.0
Towns,-1.0,-1.0,-1.0,-1.0
Treutlen,-1.0,-1.0,-1.0,-1.0
Troup,5718.0,1164.0,2310.0,12676.0
Turner,-1.0,-1.0,-1.0,-1.0
Twiggs,-1.0,-1.0,-1.0,-1.0
Union,-1.0,-1.0,-1.0,-1.0
Upson,-1.0,-1.0,-1.0,-1.0
Walker,-1.0,-1.0,-1.0,-1.0
Walton,-1.0,-1.0,-1.0,-1.0
Ware,-1.0,-1.0,-1.0,-1.0
Warren,-1.0,-1.0,-1.0,-1.0
Washington,-1.0,-1.0,-1.0,-1.0
Wayne,-1.0,-1.0,-1.0,-1.0
Webster,-1.0,-1.0,-1.0,-1.0
Wheeler,-1.0,-1.0,-1.0,-1.0
White,-1.0,-1.0,-1.0,-1.0
Whitfield,10090.0,2439.0,3357.0,19218.0
Wilcox,-1.0,-1.0,-1.0,-1.0
Wilkes,-1.0,-1.0,-1.0,-1.0
Wilkinson,-1.0,-1.0,-1.0,-1.0
Worth,-1.0,-1.0,-1.0,-1.0
