county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,460569,246293,262018,280465,287208,283705,121370,152983,994073,808601,612333,1476446
Appling,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bacon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baldwin,4184,1004,2519,1040,939,1816,754,700,4623,2403,2255,4471
Banks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barrow,2882,936,1581,1641,2166,2093,774,1040,9301,7916,4242,8520
Bartow,3945,3031,2418,3018,2497,3696,988,1870,10868,12060,6847,10842
Ben Hill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Berrien,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bibb,8634,5237,5444,5244,5170,4531,1950,1914,14104,11904,7987,18152
Bleckley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brantley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brooks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryan,1071,278,877,798,471,252,59,298,3483,2816,3204,5533
Bulloch,11938,2365,1986,2132,2252,1430,1043,1123,7292,4398,2958,7050
Burke,1898,1300,700,716,628,824,241,254,2775,1647,1026,1749
Butts,603,209,642,788,441,741,405,579,2635,1974,2042,2433
Calhoun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Camden,2361,739,963,956,1230,1051,695,780,5273,6113,4141,6483
Candler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Carroll,6711,3158,2889,3685,3430,3380,1340,2270,11153,9921,6656,13287
Catoosa,1886,1054,1934,2595,1475,2250,608,1135,7166,6299,5296,7336
Charlton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chatham,14993,6571,6922,7771,8716,7467,3944,5832,27489,24224,16479,35588
Chattahoochee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chattooga,1260,763,1057,1127,1162,1175,512,280,3568,1887,969,951
Cherokee,3962,3249,3597,4084,4957,3729,1679,2937,21501,22634,16333,47260
Clarke,22007,4134,4910,4063,3604,2466,1724,1367,9641,7584,4006,10926
Clay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Clayton,13940,7121,8597,10689,10661,9214,4116,5491,32642,23653,14278,23571
Clinch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cobb,23107,11638,15398,16171,17126,18239,7611,9533,62000,55719,47461,164437
Coffee,1743,1400,1655,904,1629,1956,417,1177,4857,2697,1602,3645
Colquitt,1939,2864,1690,1803,1780,1888,246,742,5599,2326,2475,3160
Columbia,2665,1362,1674,2022,2577,2859,1106,1778,12188,13101,10519,25813
Cook,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coweta,4030,2200,2093,3254,3143,3222,1350,1498,12187,12342,10674,23393
Crawford,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crisp,1756,948,1167,634,527,503,316,167,3466,1598,1316,1382
Dade,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dawson,959,604,421,551,797,624,467,242,2641,1873,1348,3421
Decatur,2216,946,1078,1063,823,1022,674,268,2790,1562,1262,2251
DeKalb,34847,16683,21452,22780,18427,22967,9426,11974,72192,56121,43878,123065
Dodge,1057,644,323,1006,552,581,207,130,2082,1813,1221,2316
Dooly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dougherty,8005,4757,3232,3749,3857,3560,1043,1530,8762,6348,3935,7758
Douglas,3659,3152,4285,3941,2902,3460,1412,2759,15636,12526,9289,19699
Early,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Echols,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Effingham,632,1030,984,854,2260,1080,246,800,6615,5517,3805,8660
Elbert,682,790,883,728,779,1468,174,451,2418,1471,761,1410
Emanuel,1535,590,839,827,1287,409,391,476,2412,1556,697,2085
Evans,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fannin,1299,588,639,861,1116,828,698,506,2025,2299,1259,1928
Fayette,1561,1592,1287,1233,1822,1687,1155,1171,7151,8021,8636,29626
