county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Meriwether,748,501,689,784,963,727,634,526,2490,1783,1242,1874
Miller,289,150,148,370,72,134,162,283,439,628,143,628
Mitchell,1414,536,796,849,1021,563,202,512,2464,1314,1292,2078
Monroe,531,670,501,493,998,539,259,333,2809,1818,2275,4196
Montgomery,394,139,282,316,206,244,131,274,1015,587,448,923
Morgan,581,481,503,602,334,430,187,223,1644,1796,902,2951
Murray,1559,1276,962,1539,1474,1728,688,1166,5581,3864,1676,3526
Muscogee,7844,4510,4060,4845,4978,4429,2436,2457,21203,14125,10636,23172
Newton,3304,1630,1878,2470,2784,2947,797,1152,11517,10112,6486,13177
Oconee,488,335,396,403,391,587,261,284,2166,2426,3045,8035
Oglethorpe,1153,101,486,221,455,245,180,260,1802,1516,1188,1478
Paulding,3116,1236,1735,3079,2215,3247,1691,1677,15348,15828,13573,21637
Peach,1258,505,1262,462,708,1030,164,481,2315,1640,1805,3659
Pickens,617,749,426,696,1415,679,411,263,3278,2363,2249,4737
Pierce,577,432,437,585,398,748,133,353,2254,2174,1157,1509
Pike,441,256,281,510,330,550,221,290,2204,1830,1254,2314
Polk,1846,1550,1135,1350,1509,1302,664,766,4527,4161,2018,3760
Pulaski,307,152,419,245,692,261,153,323,1751,939,538,815
Putnam,674,299,419,668,1519,1028,212,186,2130,1703,953,3055
Quitman,131,153,115,194,87,77,25,65,289,151,105,69
Rabun,814,418,641,376,680,495,255,395,2169,1335,393,1578
Randolph,364,419,190,519,389,473,88,152,652,396,156,564
Richmond,11539,6670,5152,5842,5516,5848,2490,3959,21874,16537,10905,21099
Rockdale,2596,1198,1543,2390,2485,1886,1002,1179,8376,7992,6583,14704
Schley,259,124,160,38,239,267,52,127,527,427,385,274
Screven,482,531,616,301,615,661,243,318,1638,1150,826,1034
Seminole,631,408,182,417,538,181,52,111,718,520,357,1063
Spalding,3321,1639,2298,2316,1960,1508,611,896,7866,6330,3161,6754
Stephens,1080,653,775,1276,1006,633,216,386,3055,2238,1335,2282
Stewart,294,145,194,321,119,182,30,131,632,578,388,315
Sumter,2034,1432,1331,1593,1026,914,457,263,3648,2348,1466,3073
Talbot,455,192,259,274,224,153,74,183,986,348,302,845
Taliaferro,107,65,178,188,88,29,37,12,258,99,61,116
Tattnall,899,1253,770,988,462,961,358,464,2288,2042,1305,2029
Taylor,654,261,606,403,170,326,187,82,750,515,203,789
Telfair,961,684,624,486,519,709,140,121,1501,815,550,790
Terrell,418,578,397,300,447,173,140,192,927,747,229,769
Thomas,2676,1501,1435,1200,1391,1320,541,884,4187,3478,2456,4911
Tift,2368,1411,1064,1053,1437,1415,369,656,3987,3609,2186,4381
Toombs,1269,1140,1127,775,819,641,356,339,3356,1921,1533,2566
