county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,337965,182954,201289,220043,237249,236352,91374,163109,961045,851046,645734,1636092
Appling,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bacon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baldwin,2698,1318,1499,823,781,1887,414,642,4164,3252,3036,4992
Banks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barrow,1877,2075,1162,1872,1486,2510,477,1167,6288,6838,5694,7852
Bartow,3052,1834,1536,1639,1891,1965,802,1929,9997,10270,6941,13520
Ben Hill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Berrien,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bibb,7553,5133,4942,4736,3312,3578,1899,1485,14079,11986,9109,21648
Bleckley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brantley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brooks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bulloch,6088,2230,1532,1951,1389,1641,626,1107,7041,5306,3568,6564
Burke,940,798,515,668,1243,1003,195,620,2385,1990,978,2089
Butts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Calhoun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Camden,1222,673,965,1288,1334,1038,466,1137,5434,4937,3042,6356
Candler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Carroll,5278,2444,2429,2522,2381,2543,1049,2058,12761,11918,9627,12535
Catoosa,1248,1103,1345,1397,1031,1280,626,1325,7706,6394,4825,9305
Charlton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chatham,10656,4617,5359,5012,5672,7436,2903,3972,25058,23745,13920,39129
Chattahoochee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chattooga,1454,517,529,751,895,879,705,213,3721,3413,1440,929
Cherokee,3192,1860,1911,2685,3458,3991,1508,2842,19379,18155,15590,49171
Clarke,14854,3567,3478,3407,2897,3263,1078,3222,11721,7862,5460,12529
Clay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Clayton,7798,4779,5733,7474,8399,7864,3025,6553,35581,25925,20909,30319
Clinch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cobb,19532,6949,10421,10246,12977,12464,4280,10593,57658,61347,53662,182548
Coffee,1354,681,1574,1525,1645,1590,239,598,4124,3007,1914,3571
Colquitt,1253,1919,2376,2099,1578,1382,589,1134,5369,2836,2381,3611
Columbia,2472,549,1012,1518,1616,1872,307,1695,9058,10618,9259,26802
Cook,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coweta,2919,1747,1505,1347,2187,2020,735,1376,10330,12219,10214,24228
Crawford,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crisp,1259,997,947,793,803,456,215,519,1818,1579,1379,1987
