county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,889371.0,159927.0,253337.0,1996419.0
Appling,-1.0,-1.0,-1.0,-1.0
Atkinson,-1.0,-1.0,-1.0,-1.0
Bacon,-1.0,-1.0,-1.0,-1.0
Baker,-1.0,-1.0,-1.0,-1.0
Baldwin,-1.0,-1.0,-1.0,-1.0
Banks,-1.0,-1.0,-1.0,-1.0
Barrow,5253.0,1054.0,1835.0,18931.0
Bartow,7836.0,2363.0,3560.0,21076.0
Ben Hill,-1.0,-1.0,-1.0,-1.0
Berrien,-1.0,-1.0,-1.0,-1.0
Bibb,17037.0,1998.0,2346.0,23448.0
Bleckley,-1.0,-1.0,-1.0,-1.0
Brantley,-1.0,-1.0,-1.0,-1.0
Brooks,-1.0,-1.0,-1.0,-1.0
Bryan,-1.0,-1.0,-1.0,-1.0
Bulloch,6402.0,856.0,1298.0,11849.0
Burke,-1.0,-1.0,-1.0,-1.0
Butts,-1.0,-1.0,-1.0,-1.0
Calhoun,-1.0,-1.0,-1.0,-1.0
Camden,-1.0,-1.0,-1.0,-1.0
Candler,-1.0,-1.0,-1.0,-1.0
Carroll,10881.0,2066.0,3674.0,23527.0
Catoosa,5647.0,951.0,1745.0,14375.0
Charlton,-1.0,-1.0,-1.0,-1.0
Chatham,20771.0,4663.0,6200.0,41647.0
Chattahoochee,-1.0,-1.0,-1.0,-1.0
Chattooga,-1.0,-1.0,-1.0,-1.0
Cherokee,12093.0,2332.0,4309.0,69452.0
Clarke,10677.0,1167.0,1594.0,10117.0
Clay,-1.0,-1.0,-1.0,-1.0
Clayton,31223.0,5424.0,10006.0,43712.0
Clinch,-1.0,-1.0,-1.0,-1.0
Cobb,46572.0,8911.0,16269.0,173733.0
Coffee,-1.0,-1.0,-1.0,-1.0
Colquitt,-1.0,-1.0,-1.0,-1.0
Columbia,5366.0,2124.0,3238.0,38455.0
Cook,-1.0,-1.0,-1.0,-1.0
Coweta,9267.0,1877.0,3689.0,31504.0
Crawford,-1.0,-1.0,-1.0,-1.0
Crisp,-1.0,-1.0,-1.0,-1.0
Dade,-1.0,-1.0,-1.0,-1.0
Dawson,-1.0,-1.0,-1.0,-1.0
Decatur,-1.0,-1.0,-1.0,-1.0
DeKalb,57638.0,9292.0,17683.0,123231.0
Dodge,-1.0,-1.0,-1.0,-1.0
Dooly,-1.0,-1.0,-1.0,-1.0
Dougherty,14045.0,2065.0,2836.0,9328.0
Douglas,13048.0,2541.0,2979.0,35368.0
Early,-1.0,-1.0,-1.0,-1.0
Echols,-1.0,-1.0,-1.0,-1.0
Effingham,-1.0,-1.0,-1.0,-1.0
Elbert,-1.0,-1.0,-1.0,-1.0
