county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,798160.0,148084.0,248429.0,2125834.0
Appling,2317.0,104.0,452.0,3460.0
Atkinson,1287.0,414.0,167.0,1018.0
Bacon,513.0,199.0,575.0,1988.0
Baker,503.0,52.0,70.0,503.0
Baldwin,3573.0,762.0,875.0,5791.0
Banks,1413.0,260.0,329.0,3989.0
Barrow,6057.0,910.0,2631.0,19119.0
Bartow,6982.0,2100.0,2920.0,23750.0
Ben Hill,2818.0,474.0,520.0,2517.0
Berrien,2489.0,300.0,597.0,3287.0
Bibb,15048.0,1731.0,2876.0,24269.0
Bleckley,1271.0,172.0,316.0,1602.0
Brantley,2171.0,170.0,809.0,3625.0
Brooks,1298.0,359.0,508.0,3637.0
Bryan,2347.0,218.0,485.0,10384.0
Bulloch,5071.0,667.0,1431.0,11251.0
Burke,3117.0,717.0,726.0,3775.0
Butts,1633.0,300.0,375.0,4701.0
Calhoun,482.0,149.0,122.0,602.0
Camden,4750.0,622.0,1168.0,12702.0
Candler,1355.0,371.0,766.0,1694.0
Carroll,9898.0,1848.0,4226.0,24152.0
Catoosa,4729.0,969.0,1620.0,15615.0
Charlton,890.0,163.0,243.0,1736.0
Chatham,18519.0,4474.0,6820.0,44186.0
Chattahoochee,931.0,285.0,321.0,2744.0
Chattooga,2195.0,441.0,1016.0,3797.0
Cherokee,9850.0,2374.0,4691.0,70472.0
Clarke,8402.0,1490.0,1710.0,12231.0
Clay,567.0,106.0,-1.0,196.0
Clayton,27731.0,5807.0,10096.0,55954.0
Clinch,916.0,273.0,74.0,1121.0
Cobb,38841.0,9242.0,13809.0,184422.0
Coffee,5049.0,753.0,2454.0,6828.0
Colquitt,6705.0,957.0,1273.0,8186.0
Columbia,5624.0,1951.0,2314.0,37971.0
Cook,2250.0,530.0,444.0,2638.0
Coweta,7511.0,1783.0,3001.0,36444.0
Crawford,1240.0,489.0,124.0,1794.0
Crisp,3659.0,444.0,625.0,3099.0
Dade,1160.0,310.0,325.0,3374.0
Dawson,1563.0,240.0,530.0,4600.0
Decatur,3520.0,286.0,932.0,4239.0
DeKalb,50909.0,9967.0,17146.0,133623.0
Dodge,1868.0,308.0,696.0,2945.0
Dooly,1951.0,176.0,406.0,1251.0
Dougherty,13672.0,1532.0,3125.0,11504.0
Douglas,10060.0,1872.0,3392.0,36306.0
Early,1659.0,66.0,399.0,1646.0
Echols,610.0,185.0,337.0,768.0
Effingham,3376.0,777.0,1714.0,16407.0
Elbert,2525.0,425.0,732.0,2587.0
Emanuel,3481.0,473.0,827.0,3511.0
Evans,1152.0,244.0,401.0,1738.0
Fannin,1700.0,496.0,687.0,3405.0
Fayette,3653.0,1333.0,1700.0,36672.0
Floyd,8627.0,1600.0,3033.0,17804.0
Forsyth,5884.0,1273.0,2647.0,65159.0
Franklin,2002.0,311.0,512.0,4244.0
Fulton,61267.0,8310.0,15891.0,174836.0
Gilmer,2640.0,463.0,745.0,4993.0
Glascock,397.0,49.0,56.0,939.0
Glynn,6373.0,1006.0,1351.0,15396.0
Gordon,5458.0,1675.0,1545.0,10689.0
Grady,3317.0,194.0,669.0,4637.0
Greene,1740.0,237.0,249.0,1740.0
Gwinnett,62731.0,15226.0,22284.0,246944.0
Habersham,3684.0,925.0,940.0,7508.0
Hall,17739.0,3243.0,6772.0,41843.0
Hancock,1499.0,142.0,264.0,392.0
Haralson,2911.0,441.0,827.0,5570.0
Harris,1391.0,258.0,664.0,7823.0
Hart,2510.0,655.0,490.0,3932.0
Heard,1485.0,90.0,189.0,2297.0
Henry,10906.0,2979.0,4138.0,68082.0
Houston,10483.0,1547.0,2918.0,35428.0
Irwin,719.0,109.0,302.0,1576.0
Jackson,5047.0,615.0,1524.0,15030.0
Jasper,1465.0,-1.0,468.0,2644.0
Jeff Davis,1789.0,575.0,480.0,3024.0
Jefferson,2057.0,399.0,572.0,2362.0
Jenkins,1236.0,209.0,225.0,1039.0
Johnson,1066.0,199.0,137.0,1086.0
Jones,2006.0,399.0,755.0,6941.0
Lamar,1666.0,372.0,290.0,3088.0
Lanier,1570.0,296.0,480.0,1934.0
Laurens,5199.0,1211.0,1417.0,8097.0
Lee,1737.0,314.0,582.0,9049.0
Liberty,8771.0,1354.0,2840.0,15512.0
Lincoln,1273.0,55.0,348.0,1077.0
Long,1273.0,281.0,421.0,2983.0
Lowndes,11291.0,1938.0,3892.0,18338.0
Lumpkin,1587.0,338.0,799.0,6517.0
McDuffie,2289.0,208.0,973.0,3624.0
McIntosh,1109.0,300.0,436.0,1906.0
Macon,1587.0,311.0,414.0,1114.0
Madison,2688.0,648.0,717.0,5215.0
Marion,826.0,71.0,103.0,1054.0
Meriwether,2152.0,612.0,658.0,3563.0
Miller,952.0,26.0,252.0,1006.0
Mitchell,3007.0,686.0,692.0,3415.0
Monroe,1960.0,694.0,605.0,5329.0
Montgomery,786.0,132.0,314.0,1526.0
Morgan,1702.0,297.0,337.0,4378.0
Murray,4744.0,852.0,1802.0,7202.0
Muscogee,18715.0,2789.0,4972.0,36173.0
Newton,8825.0,2644.0,3507.0,27837.0
Oconee,1548.0,165.0,640.0,10937.0
Oglethorpe,880.0,119.0,224.0,2629.0
Paulding,8737.0,1360.0,5277.0,49897.0
Peach,3016.0,306.0,559.0,3560.0
Pickens,1670.0,777.0,653.0,6234.0
Pierce,1569.0,165.0,690.0,4226.0
Pike,1325.0,221.0,773.0,4641.0
Polk,4769.0,1421.0,1228.0,7572.0
Pulaski,670.0,199.0,98.0,2212.0
Putnam,1560.0,425.0,626.0,3184.0
Quitman,365.0,35.0,47.0,258.0
Rabun,1522.0,114.0,344.0,2604.0
Randolph,938.0,86.0,293.0,360.0
Richmond,23173.0,3491.0,5070.0,30198.0
Rockdale,7103.0,1168.0,2120.0,21918.0
Schley,318.0,267.0,312.0,954.0
Screven,974.0,205.0,633.0,1838.0
Seminole,1104.0,346.0,196.0,846.0
Spalding,7166.0,879.0,1458.0,13103.0
Stephens,2334.0,246.0,376.0,4324.0
Stewart,556.0,30.0,155.0,843.0
Sumter,4545.0,604.0,852.0,4525.0
Talbot,762.0,89.0,106.0,1074.0
Taliaferro,265.0,22.0,-1.0,78.0
Tattnall,2075.0,221.0,759.0,3069.0
Taylor,1532.0,192.0,295.0,1335.0
Telfair,1833.0,236.0,596.0,1778.0
Terrell,1488.0,215.0,218.0,1143.0
Thomas,5280.0,552.0,1428.0,7269.0
Tift,5022.0,872.0,1342.0,7401.0
Toombs,3979.0,468.0,592.0,5210.0
Towns,446.0,223.0,347.0,1253.0
Treutlen,1052.0,227.0,192.0,1148.0
Troup,7031.0,1025.0,2119.0,12307.0
Turner,1197.0,66.0,292.0,1379.0
Twiggs,725.0,19.0,135.0,744.0
Union,1097.0,156.0,563.0,3150.0
Upson,3001.0,354.0,954.0,4402.0
Walker,5807.0,1699.0,1811.0,13353.0
Walton,7016.0,1244.0,2856.0,21730.0
Ware,3395.0,531.0,814.0,5718.0
Warren,649.0,32.0,200.0,724.0
Washington,2378.0,370.0,503.0,2894.0
Wayne,3328.0,547.0,949.0,4975.0
Webster,357.0,-1.0,57.0,382.0
Wheeler,556.0,27.0,101.0,617.0
White,3503.0,404.0,809.0,5942.0
Whitfield,12942.0,2147.0,3204.0,21011.0
Wilcox,833.0,67.0,212.0,1100.0
