county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,446338,240651,253609,275052,279754,276862,117374,153245,999794,808212,618273,1511240
Appling,796,426,575,738,484,774,443,107,2299,1368,1031,1906
Atkinson,673,377,419,221,336,270,185,150,938,584,380,496
Bacon,396,421,290,357,516,374,320,111,960,1249,578,937
Baker,299,197,173,87,128,56,34,24,213,280,134,246
Baldwin,4577,1119,2259,1267,1216,1855,585,732,4166,2702,2425,4565
Banks,764,573,587,937,747,368,187,238,2409,1400,1033,2061
Barrow,2390,1002,1940,2163,2112,1988,862,1231,8938,7871,4312,8124
Bartow,3837,2898,2129,3130,2348,3494,941,1346,11198,11276,7093,12250
Ben Hill,1495,853,835,699,691,615,134,518,1752,865,702,1161
Berrien,923,900,584,857,924,691,275,626,2354,1318,860,1124
Bibb,9150,5315,5109,5226,4491,4923,1953,2300,14225,11676,8331,17729
Bleckley,547,334,268,322,151,293,273,167,961,974,1098,1528
Brantley,1008,837,588,338,803,938,165,346,2040,1892,1181,1133
Brooks,868,679,481,546,726,712,286,326,1782,1233,676,1315
Bryan,865,403,617,762,555,498,160,429,3714,2495,2830,5642
Bulloch,10779,2484,2559,1984,2155,1644,909,764,6937,4637,3497,6756
Burke,2125,896,633,820,980,988,189,439,2407,1667,1042,1517
Butts,673,297,470,664,588,920,364,327,2693,2006,1939,2629
Calhoun,555,271,272,217,248,113,62,42,394,360,243,361
Camden,1928,963,1103,869,1059,959,726,733,6778,6009,3843,6057
Candler,429,642,264,457,314,465,339,173,1423,361,519,1005
Carroll,5997,2828,2895,3552,3361,3489,1489,2232,11781,10087,7427,12528
Catoosa,1702,904,1913,2138,1308,1963,719,1509,8100,6048,4908,7852
Charlton,651,185,283,206,462,411,385,269,1634,1042,630,1076
Chatham,14651,6467,7280,7463,9164,7734,3963,5257,27001,23661,16878,36060
Chattahoochee,287,148,270,310,350,440,-1,101,1512,869,490,581
Chattooga,1224,836,886,930,1067,1188,503,307,3416,2022,932,1325
Cherokee,4016,2980,3604,3820,5207,3829,2069,2841,20431,21434,16175,48900
Clarke,20378,4225,4702,3634,3586,2999,1824,1356,10392,7584,4674,11077
Clay,223,388,126,132,128,25,9,48,244,197,10,238
Clayton,14567,7244,8254,9224,9576,8893,3820,6045,33553,24050,15435,24365
Clinch,230,262,216,78,408,136,125,130,1001,539,172,684
Cobb,21173,12184,14390,14944,16875,16961,7460,8713,61700,55035,50361,168377
Coffee,1817,1331,1811,1410,1562,1749,542,1161,4604,2521,1954,3343
Colquitt,2171,2460,1693,1763,1425,1664,502,921,5301,2886,2488,3462
Columbia,3091,1715,1442,2208,2367,2806,1033,1857,12388,12040,10022,26851
Cook,757,711,668,500,554,361,355,261,2127,1539,797,1465
Coweta,3957,1951,1918,2815,2778,3015,1334,1910,12803,12969,10654,22911
Crawford,686,374,409,294,402,410,175,196,1552,1585,629,1311
Crisp,1585,926,1065,754,999,543,356,155,3094,1398,1055,1763
Dade,642,329,429,371,630,437,120,311,2180,1413,1144,1640
Dawson,916,499,439,481,533,736,352,216,2432,2298,1324,3633
Decatur,2316,920,895,1119,689,849,517,313,2731,1850,1177,2470
DeKalb,33918,16998,21126,21442,19031,20677,8542,11619,73664,55647,41685,129597
Dodge,929,720,432,778,498,811,262,145,2392,1812,1043,1903
Dooly,912,550,479,296,608,354,158,130,1626,839,747,855
Dougherty,8017,4537,3120,3863,3487,3062,1273,1419,9012,5721,3936,8699
Douglas,3525,2648,3537,4100,3028,3726,1641,2009,15681,12214,9865,20532
Early,551,425,579,315,223,451,142,350,783,972,429,810
Echols,520,220,144,47,254,42,12,101,433,202,255,244
Effingham,884,989,1085,1036,1551,1296,441,697,5702,4991,4389,9383
Elbert,713,581,776,729,714,1213,309,718,2542,1378,1060,1229
Emanuel,1601,967,624,860,1104,728,440,567,2486,1329,751,1721
Evans,649,503,349,173,376,294,81,182,1143,1058,471,890
Fannin,1178,697,877,603,879,1018,699,444,2312,1861,1321,2019
Fayette,1410,1298,1230,1257,1535,1512,1035,898,6918,8505,8831,30431
Floyd,4089,3910,2955,2773,2954,3118,1256,1311,10117,8410,4984,10154
Forsyth,3736,1467,2054,3216,2385,3142,1164,1928,12329,12462,14678,48695
Franklin,1188,538,902,927,755,812,296,346,2131,2074,1121,1745
Fulton,49800,21742,19272,23842,22592,22583,9492,11431,77903,66611,54713,218506
Gilmer,1081,932,1263,1344,909,953,247,707,3308,2224,1329,2508
Glascock,138,111,97,84,94,29,74,32,440,345,167,171
Glynn,3080,1907,2394,2184,2212,2068,767,1262,7765,6229,5176,12502
Gordon,2537,1407,2092,2286,2012,2171,647,819,6614,4748,3152,5179
Grady,2394,834,742,1008,690,796,541,341,2720,1659,1251,1996
Greene,1062,418,502,433,622,498,389,349,1892,1047,556,1621
Gwinnett,27307,16171,17678,20260,24972,21467,8014,13523,85257,68561,59233,153652
Habersham,1404,1109,1267,857,1333,1284,661,842,3940,4444,2196,4374
Hall,5937,4067,5420,5779,5297,5701,1973,2973,18671,15874,10586,24760
Hancock,577,159,563,500,248,483,317,365,675,385,144,267
Haralson,1439,909,1226,1009,625,618,575,526,3430,2525,1379,2910
Harris,563,562,297,644,333,727,342,351,2892,2835,2107,8143
Hart,1254,1176,1092,490,645,733,69,370,3046,1853,1333,2396
Heard,452,401,619,275,181,192,75,257,1537,1295,610,1219
Henry,4395,3122,2869,5422,4085,4300,1692,3047,22184,22612,17182,35796
Houston,4491,2934,3219,3599,2866,4114,1407,2094,13962,12506,11509,24669
Irwin,571,97,280,572,178,308,155,31,931,595,595,1051
Jackson,1903,1143,2030,1355,1433,1288,704,1169,7709,5199,4772,8147
Jasper,732,361,413,732,260,491,146,217,1654,1257,615,1689
Jeff Davis,820,483,537,710,226,683,247,504,1724,1005,798,1143
Jefferson,1235,720,541,921,484,581,147,261,1586,1329,1005,817
Jenkins,543,209,384,331,369,350,201,156,724,470,437,630
Johnson,580,168,254,276,413,325,233,119,990,613,572,671
Jones,997,536,766,645,607,767,338,910,2740,2590,2086,4392
Lamar,1112,800,385,677,465,611,91,313,2157,1685,844,1678
Lanier,732,169,271,417,384,340,200,155,1128,662,644,723
Laurens,3049,1538,1430,2011,1832,1485,371,531,4205,3751,2971,5075
Lee,511,456,606,736,377,841,276,240,2482,2914,1945,5361
Liberty,2680,1640,1250,2138,2303,2284,796,1532,8412,5728,4260,6236
Lincoln,423,304,353,351,255,171,18,75,913,591,330,1033
Long,810,399,390,482,849,393,187,470,1980,951,1018,811
Lowndes,8306,4027,3586,3844,3968,4158,2182,1304,11450,8291,5631,11558
Lumpkin,1733,611,715,1107,1384,674,392,404,3755,2540,2110,3014
McDuffie,1123,457,545,864,707,921,727,504,2417,1767,1185,1652
McIntosh,562,183,324,693,600,545,237,478,1867,1033,760,1260
Macon,842,446,688,445,817,510,196,214,1706,822,729,738
Madison,1156,963,973,710,1085,754,396,493,3702,1741,2403,2815
Marion,845,139,161,366,364,420,194,131,787,673,564,596
Meriwether,905,482,611,869,912,787,417,467,2910,1774,1127,1736
Miller,354,94,193,398,144,170,83,107,542,587,250,492
Mitchell,1604,525,919,828,641,1155,386,376,1855,1542,1120,1706
Monroe,571,1061,549,1122,944,803,266,157,2631,2147,1832,3813
Montgomery,567,188,353,294,261,338,78,390,997,604,225,759
Morgan,582,401,640,627,513,597,163,238,1983,1458,956,2497
Murray,2174,1112,1351,1296,2065,1842,683,1171,5008,2996,1742,3221
