county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Muscogee,8434,5213,4350,5942,5889,5207,2806,2710,21279,14944,11067,21834
Newton,4092,1781,2508,2879,3362,3233,1197,1549,10302,10000,7629,11854
Oconee,667,484,562,426,630,546,227,208,2827,2479,2907,7925
Oglethorpe,651,266,539,289,330,540,176,369,1702,1617,905,1666
Paulding,3799,2202,2108,2622,2729,3374,1391,1715,16435,16630,14084,21341
Peach,1782,921,1045,581,1002,640,151,427,2584,1927,1714,3187
Pickens,819,690,291,944,1412,1092,388,265,2798,2533,2275,4402
Pierce,966,465,680,505,444,706,121,404,2253,1999,1065,1519
Pike,518,185,374,476,550,382,141,262,2410,1809,1195,2343
Polk,2001,1735,1331,1308,1247,925,857,590,5458,3400,1876,3743
Pulaski,571,333,356,350,467,247,151,161,1355,1286,462,883
Putnam,797,456,420,768,1785,681,210,303,2377,1284,999,2734
Quitman,52,133,72,146,67,105,-1,28,433,202,108,49
Rabun,809,637,867,549,450,619,358,284,1428,1223,527,1626
Randolph,559,242,153,350,196,322,69,196,888,687,252,407
Richmond,11773,7604,5715,5566,6084,6024,2331,3864,22886,17314,11298,20998
Rockdale,2574,1523,1825,2508,2549,2635,1165,1369,9633,7756,5624,13601
Schley,338,115,97,97,169,190,75,142,523,453,289,332
Screven,724,568,795,283,465,454,294,293,1253,1285,688,1386
Seminole,673,339,272,266,344,459,110,84,935,458,381,701
Spalding,3480,1705,2629,1911,2691,1649,805,914,7864,5623,3673,5709
Stephens,1155,655,684,1089,1095,779,187,369,3073,2223,1304,1851
Stewart,429,209,179,364,228,211,11,82,852,444,256,331
Sumter,2547,1426,1103,1003,1132,816,557,625,3216,2036,1271,2970
Talbot,538,268,148,316,340,214,177,90,876,318,284,639
Taliaferro,91,38,154,135,83,24,11,9,229,138,45,45
Tattnall,1088,1169,925,954,672,737,249,215,1950,1835,1164,1819
Taylor,554,325,412,441,202,603,98,158,821,546,137,719
Telfair,1110,466,600,445,479,468,134,125,1539,901,339,773
Terrell,534,533,298,334,192,147,209,153,1032,806,339,745
Thomas,3707,1856,1628,1026,1558,1888,444,762,3879,3144,2228,4050
Tift,2916,1301,837,1317,1144,1632,668,595,3583,3437,1967,4357
Toombs,1386,1203,1199,727,743,800,294,406,2727,2147,1609,2518
Towns,365,259,246,293,300,420,208,248,1114,695,353,682
Treutlen,391,112,188,214,263,241,42,60,593,805,109,517
Troup,3518,2102,1966,2113,1875,2078,1051,1125,6571,6149,3765,7384
Turner,347,443,376,513,205,378,227,86,715,613,480,679
Twiggs,722,285,478,441,333,167,68,338,700,464,400,1185
Union,1118,397,850,500,418,559,74,100,2425,1510,1304,2237
Upson,942,1091,1112,1118,1024,1063,254,538,3695,2207,1207,1937
Walker,2986,1835,2221,2243,3035,2459,837,1255,7715,6328,3932,6266
Walton,3139,1335,1891,1958,2244,3101,1332,2247,7652,6788,6886,12455
Ware,1759,1193,1282,1109,1075,686,648,685,3979,2959,1672,2871
Warren,468,205,193,135,95,143,227,106,905,326,250,334
Washington,1373,629,704,848,639,512,264,323,2489,1398,1089,1565
Wayne,1308,710,1155,1101,1416,967,495,302,2981,2099,1938,2294
Webster,157,70,136,157,33,123,58,27,244,329,140,256
Wheeler,236,262,144,103,181,242,45,77,355,522,186,188
White,1293,775,629,715,1079,1019,321,321,2553,2340,2107,2883
Whitfield,3933,3061,3463,3933,4001,3571,1929,2308,12984,8220,4596,9338
Wilcox,504,397,117,276,390,232,59,92,739,379,474,462
Wilkes,538,483,587,282,268,442,223,271,1061,628,583,580
Wilkinson,346,284,174,359,390,190,49,298,1162,926,660,788
Worth,894,1202,419,669,819,779,314,204,2752,1810,1383,1938
