county,<1.30,1.30-1.49,1.50-1.84,>1.85
Washington,1969.0,398.0,367.0,2899.0
Wayne,3175.0,547.0,1012.0,4577.0
Webster,250.0,-1.0,137.0,265.0
Wheeler,909.0,142.0,83.0,551.0
White,2862.0,374.0,1094.0,4728.0
Whitfield,14948.0,2661.0,3525.0,20930.0
Wilcox,968.0,112.0,155.0,893.0
Wilkes,876.0,69.0,386.0,957.0
Wilkinson,864.0,216.0,157.0,1450.0
Worth,2347.0,385.0,885.0,3736.0
