county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Miller,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mitchell,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Monroe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Montgomery,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Morgan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Murray,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Muscogee,6367,3939,3323,6134,4254,3394,2742,3051,19048,16613,10738,24381
Newton,3025,904,2574,2137,2208,1895,388,665,12406,11644,6666,13146
Oconee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Oglethorpe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Paulding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Peach,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pickens,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pierce,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pike,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Polk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pulaski,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Putnam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quitman,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rabun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Randolph,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Richmond,8637,3419,4661,5909,5266,4797,2784,3378,18441,15457,11969,19800
Rockdale,2776,812,1834,2871,3447,1002,876,933,7844,7788,6551,14360
Schley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Screven,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Seminole,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Spalding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stephens,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stewart,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sumter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Talbot,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taliaferro,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tattnall,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taylor,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Telfair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Terrell,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thomas,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tift,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Toombs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Towns,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Treutlen,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Troup,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turner,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Twiggs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Union,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Upson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Walker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Walton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ware,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Warren,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Washington,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wayne,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Webster,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wheeler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
White,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Whitfield,3198,1406,3019,1674,2564,3084,1036,2295,11511,9979,4561,11122
Wilcox,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wilkes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wilkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Worth,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
