county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,349913,175700,213577,225606,246913,231500,94057,168531,958403,867734,644163,1634187
Appling,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bacon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baldwin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Banks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barrow,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bartow,2873,2095,1211,1694,1832,2424,1315,1568,11188,9949,8351,12510
Ben Hill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Berrien,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bibb,7782,4396,4218,5264,3236,3195,1954,1868,15417,13124,6342,22639
Bleckley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brantley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brooks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bulloch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Burke,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Butts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Calhoun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Camden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Candler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Carroll,4512,2365,2238,2252,3212,1991,550,1789,13795,11326,11640,12015
Catoosa,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Charlton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chatham,11771,4310,5325,4905,7261,6234,2728,5392,24986,20842,13336,37192
Chattahoochee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chattooga,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cherokee,4205,2224,2435,2370,1745,4021,1371,3243,18026,19279,16066,52968
Clarke,17073,4807,3351,3145,2644,3750,852,3183,12457,6636,4629,12284
Clay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Clayton,8663,5300,5844,6254,8812,7923,2077,5359,38039,25329,21730,32801
Clinch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cobb,21838,7175,10739,9948,15298,13561,4497,10313,57652,58804,50117,182752
Coffee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Colquitt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Columbia,1979,170,520,3127,1938,3313,106,2305,8976,9928,10877,25819
Cook,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coweta,3415,2453,2032,992,2717,1369,744,1571,8764,11264,10703,27238
Crawford,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crisp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dade,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dawson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Decatur,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DeKalb,27658,10979,17610,15665,21297,20734,7500,15148,73771,71160,49808,139402
Dodge,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dooly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dougherty,6618,3596,3700,2320,3086,3265,1287,1556,8001,7773,3039,9724
Douglas,4176,3183,1197,2109,1474,2924,962,2059,10667,12035,13139,24302
Early,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Echols,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Effingham,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elbert,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Emanuel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Evans,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fannin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fayette,788,496,1002,458,1602,1484,560,1097,5920,8166,10574,37197
Floyd,3025,2935,1840,2022,2618,2805,792,2377,9767,6489,7224,12347
Forsyth,2109,1232,835,2949,1838,1764,581,1510,12815,11482,11634,48984
Franklin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fulton,38090,17162,21544,21867,22444,17482,8761,15245,82666,70833,58306,242606
Gilmer,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Glascock,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Glynn,2316,1691,2136,1651,1764,1803,1158,570,6587,6313,5374,12098
Gordon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Grady,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Greene,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gwinnett,19499,8611,11202,14717,15546,16913,8950,12477,74678,77965,60515,171265
Habersham,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hall,5104,2538,4422,4739,5835,5876,1009,2821,20770,16381,11817,24298
Hancock,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Haralson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Harris,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hart,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Heard,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Henry,3695,2037,2127,1395,3997,3579,1259,2622,21820,16697,15465,40428
Houston,4271,1819,2170,2246,4825,2478,1618,2946,13454,11587,10498,21712
Irwin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jackson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jasper,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jeff Davis,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jefferson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jenkins,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Johnson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jones,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lamar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lanier,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Laurens,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liberty,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lincoln,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Long,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lowndes,5647,2788,3593,3299,2067,2856,1401,681,9855,9337,5522,10957
Lumpkin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
McDuffie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
McIntosh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Macon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Madison,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Meriwether,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
