county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,775203.0,146070.0,245965.0,2122423.0
Appling,-1.0,-1.0,-1.0,-1.0
Atkinson,-1.0,-1.0,-1.0,-1.0
Bacon,-1.0,-1.0,-1.0,-1.0
Baker,-1.0,-1.0,-1.0,-1.0
Baldwin,-1.0,-1.0,-1.0,-1.0
Banks,-1.0,-1.0,-1.0,-1.0
Barrow,-1.0,-1.0,-1.0,-1.0
Bartow,7830.0,1643.0,2579.0,22747.0
Ben Hill,-1.0,-1.0,-1.0,-1.0
Berrien,-1.0,-1.0,-1.0,-1.0
Bibb,16918.0,1693.0,3114.0,25459.0
Bleckley,-1.0,-1.0,-1.0,-1.0
Brantley,-1.0,-1.0,-1.0,-1.0
Brooks,-1.0,-1.0,-1.0,-1.0
Bryan,-1.0,-1.0,-1.0,-1.0
Bulloch,-1.0,-1.0,-1.0,-1.0
Burke,-1.0,-1.0,-1.0,-1.0
Butts,-1.0,-1.0,-1.0,-1.0
Calhoun,-1.0,-1.0,-1.0,-1.0
Camden,-1.0,-1.0,-1.0,-1.0
Candler,-1.0,-1.0,-1.0,-1.0
Carroll,10715.0,1725.0,4706.0,24856.0
Catoosa,-1.0,-1.0,-1.0,-1.0
Charlton,-1.0,-1.0,-1.0,-1.0
Chatham,18624.0,5077.0,6146.0,43899.0
Chattahoochee,-1.0,-1.0,-1.0,-1.0
Chattooga,-1.0,-1.0,-1.0,-1.0
Cherokee,9814.0,3005.0,5330.0,71361.0
Clarke,8023.0,1520.0,1634.0,11030.0
Clay,-1.0,-1.0,-1.0,-1.0
Clayton,24846.0,5644.0,11457.0,59518.0
Clinch,-1.0,-1.0,-1.0,-1.0
Cobb,34240.0,8308.0,13417.0,184310.0
Coffee,-1.0,-1.0,-1.0,-1.0
Colquitt,-1.0,-1.0,-1.0,-1.0
Columbia,5401.0,1308.0,2454.0,36704.0
Cook,-1.0,-1.0,-1.0,-1.0
Coweta,7855.0,2124.0,2660.0,36705.0
Crawford,-1.0,-1.0,-1.0,-1.0
Crisp,-1.0,-1.0,-1.0,-1.0
Dade,-1.0,-1.0,-1.0,-1.0
Dawson,-1.0,-1.0,-1.0,-1.0
Decatur,-1.0,-1.0,-1.0,-1.0
DeKalb,52747.0,10321.0,16891.0,138696.0
Dodge,-1.0,-1.0,-1.0,-1.0
Dooly,-1.0,-1.0,-1.0,-1.0
Dougherty,11957.0,1677.0,2223.0,11208.0
Douglas,9127.0,2417.0,3406.0,33349.0
Early,-1.0,-1.0,-1.0,-1.0
Echols,-1.0,-1.0,-1.0,-1.0
Effingham,-1.0,-1.0,-1.0,-1.0
Elbert,-1.0,-1.0,-1.0,-1.0
Emanuel,-1.0,-1.0,-1.0,-1.0
Evans,-1.0,-1.0,-1.0,-1.0
Fannin,-1.0,-1.0,-1.0,-1.0
Fayette,2794.0,1397.0,1494.0,35477.0
Floyd,8658.0,1654.0,2759.0,17124.0
Forsyth,6187.0,1253.0,2950.0,68722.0
Franklin,-1.0,-1.0,-1.0,-1.0
Fulton,57302.0,8790.0,16011.0,166359.0
Gilmer,-1.0,-1.0,-1.0,-1.0
Glascock,-1.0,-1.0,-1.0,-1.0
Glynn,-1.0,-1.0,-1.0,-1.0
Gordon,-1.0,-1.0,-1.0,-1.0
Grady,-1.0,-1.0,-1.0,-1.0
Greene,-1.0,-1.0,-1.0,-1.0
Gwinnett,58818.0,14082.0,20679.0,242644.0
Habersham,-1.0,-1.0,-1.0,-1.0
Hall,17055.0,2888.0,6801.0,42183.0
Hancock,-1.0,-1.0,-1.0,-1.0
Haralson,-1.0,-1.0,-1.0,-1.0
Harris,-1.0,-1.0,-1.0,-1.0
Hart,-1.0,-1.0,-1.0,-1.0
Heard,-1.0,-1.0,-1.0,-1.0
Henry,9869.0,2907.0,4106.0,71004.0
Houston,8930.0,1461.0,3095.0,34670.0
Irwin,-1.0,-1.0,-1.0,-1.0
Jackson,5028.0,772.0,1855.0,15579.0
Jasper,-1.0,-1.0,-1.0,-1.0
Jeff Davis,-1.0,-1.0,-1.0,-1.0
Jefferson,-1.0,-1.0,-1.0,-1.0
Jenkins,-1.0,-1.0,-1.0,-1.0
Johnson,-1.0,-1.0,-1.0,-1.0
Jones,-1.0,-1.0,-1.0,-1.0
Lamar,-1.0,-1.0,-1.0,-1.0
Lanier,-1.0,-1.0,-1.0,-1.0
Laurens,5227.0,1181.0,1163.0,8072.0
Lee,-1.0,-1.0,-1.0,-1.0
Liberty,9391.0,642.0,3312.0,15407.0
Lincoln,-1.0,-1.0,-1.0,-1.0
Long,-1.0,-1.0,-1.0,-1.0
Lowndes,10603.0,2735.0,3931.0,19772.0
Lumpkin,-1.0,-1.0,-1.0,-1.0
McDuffie,-1.0,-1.0,-1.0,-1.0
McIntosh,-1.0,-1.0,-1.0,-1.0
Macon,-1.0,-1.0,-1.0,-1.0
Madison,-1.0,-1.0,-1.0,-1.0
Marion,-1.0,-1.0,-1.0,-1.0
Meriwether,-1.0,-1.0,-1.0,-1.0
Miller,-1.0,-1.0,-1.0,-1.0
Mitchell,-1.0,-1.0,-1.0,-1.0
Monroe,-1.0,-1.0,-1.0,-1.0
Montgomery,-1.0,-1.0,-1.0,-1.0
Morgan,-1.0,-1.0,-1.0,-1.0
Murray,-1.0,-1.0,-1.0,-1.0
Muscogee,19137.0,3101.0,4567.0,36575.0
Newton,8208.0,3053.0,4032.0,26949.0
Oconee,-1.0,-1.0,-1.0,-1.0
Oglethorpe,-1.0,-1.0,-1.0,-1.0
Paulding,8066.0,1233.0,6437.0,50226.0
Peach,-1.0,-1.0,-1.0,-1.0
Pickens,-1.0,-1.0,-1.0,-1.0
Pierce,-1.0,-1.0,-1.0,-1.0
Pike,-1.0,-1.0,-1.0,-1.0
Polk,4647.0,1149.0,1304.0,8280.0
Pulaski,-1.0,-1.0,-1.0,-1.0
Putnam,-1.0,-1.0,-1.0,-1.0
Quitman,-1.0,-1.0,-1.0,-1.0
Rabun,-1.0,-1.0,-1.0,-1.0
Randolph,-1.0,-1.0,-1.0,-1.0
Richmond,23941.0,2930.0,5253.0,30435.0
Rockdale,5876.0,1286.0,1379.0,21365.0
Schley,-1.0,-1.0,-1.0,-1.0
Screven,-1.0,-1.0,-1.0,-1.0
Seminole,-1.0,-1.0,-1.0,-1.0
Spalding,6819.0,551.0,1511.0,13585.0
Stephens,-1.0,-1.0,-1.0,-1.0
Stewart,-1.0,-1.0,-1.0,-1.0
Sumter,-1.0,-1.0,-1.0,-1.0
Talbot,-1.0,-1.0,-1.0,-1.0
Taliaferro,-1.0,-1.0,-1.0,-1.0
Tattnall,-1.0,-1.0,-1.0,-1.0
Taylor,-1.0,-1.0,-1.0,-1.0
Telfair,-1.0,-1.0,-1.0,-1.0
Terrell,-1.0,-1.0,-1.0,-1.0
Thomas,5195.0,569.0,1054.0,7498.0
Tift,-1.0,-1.0,-1.0,-1.0
Toombs,-1.0,-1.0,-1.0,-1.0
Towns,-1.0,-1.0,-1.0,-1.0
Treutlen,-1.0,-1.0,-1.0,-1.0
Troup,7332.0,905.0,2109.0,12114.0
Turner,-1.0,-1.0,-1.0,-1.0
Twiggs,-1.0,-1.0,-1.0,-1.0
Union,-1.0,-1.0,-1.0,-1.0
Upson,-1.0,-1.0,-1.0,-1.0
Walker,6138.0,1663.0,1722.0,13027.0
Walton,7207.0,1674.0,2882.0,21104.0
Ware,-1.0,-1.0,-1.0,-1.0
Warren,-1.0,-1.0,-1.0,-1.0
Washington,-1.0,-1.0,-1.0,-1.0
Wayne,-1.0,-1.0,-1.0,-1.0
Webster,-1.0,-1.0,-1.0,-1.0
Wheeler,-1.0,-1.0,-1.0,-1.0
White,-1.0,-1.0,-1.0,-1.0
Whitfield,12636.0,2514.0,2632.0,18958.0
Wilcox,-1.0,-1.0,-1.0,-1.0
Wilkes,-1.0,-1.0,-1.0,-1.0
Wilkinson,-1.0,-1.0,-1.0,-1.0
Worth,-1.0,-1.0,-1.0,-1.0
