county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,376900,206946,221724,244105,263224,249423,110482,154895,1000690,836877,652350,1634155
Appling,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bacon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baldwin,2658,1296,1424,1120,1366,856,717,489,4968,2698,2873,5224
Banks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barrow,1821,1064,1862,1993,2142,2887,450,1818,8621,7964,5593,7365
Bartow,3152,2016,1901,2633,2102,2456,974,1170,10859,9741,6759,14227
Ben Hill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Berrien,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bibb,7966,4743,4992,5307,4177,3432,1978,1778,13966,11837,9293,19110
Bleckley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brantley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brooks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryan,893,293,649,531,419,702,169,183,3900,2008,3128,6577
Bulloch,8441,2471,2173,2020,1490,1783,475,1318,6990,4439,3354,7068
Burke,1255,731,662,702,1631,791,212,457,2440,1573,935,1564
Butts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Calhoun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Camden,1899,1096,1226,989,1206,1141,400,495,5758,5305,4071,5946
Candler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Carroll,6027,2447,2837,3529,3511,4007,1599,2226,11515,9995,8136,14204
Catoosa,1070,789,1993,2011,1381,1377,945,1684,8825,6218,4172,8574
Charlton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
