county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,736179.0,137727.0,243985.0,2178983.0
Appling,-1.0,-1.0,-1.0,-1.0
Atkinson,-1.0,-1.0,-1.0,-1.0
Bacon,-1.0,-1.0,-1.0,-1.0
Baker,-1.0,-1.0,-1.0,-1.0
Baldwin,-1.0,-1.0,-1.0,-1.0
Banks,-1.0,-1.0,-1.0,-1.0
Barrow,-1.0,-1.0,-1.0,-1.0
Bartow,7429.0,989.0,2139.0,24612.0
Ben Hill,-1.0,-1.0,-1.0,-1.0
Berrien,-1.0,-1.0,-1.0,-1.0
Bibb,16434.0,1614.0,2998.0,25241.0
Bleckley,-1.0,-1.0,-1.0,-1.0
Brantley,-1.0,-1.0,-1.0,-1.0
Brooks,-1.0,-1.0,-1.0,-1.0
Bryan,-1.0,-1.0,-1.0,-1.0
Bulloch,-1.0,-1.0,-1.0,-1.0
Burke,-1.0,-1.0,-1.0,-1.0
Butts,-1.0,-1.0,-1.0,-1.0
Calhoun,-1.0,-1.0,-1.0,-1.0
Camden,-1.0,-1.0,-1.0,-1.0
Candler,-1.0,-1.0,-1.0,-1.0
Carroll,8550.0,1130.0,4190.0,25907.0
Catoosa,3920.0,866.0,1726.0,16102.0
Charlton,-1.0,-1.0,-1.0,-1.0
Chatham,18497.0,4210.0,6886.0,45579.0
Chattahoochee,-1.0,-1.0,-1.0,-1.0
Chattooga,-1.0,-1.0,-1.0,-1.0
Cherokee,9026.0,2902.0,4144.0,71846.0
Clarke,7272.0,1376.0,1753.0,14398.0
Clay,-1.0,-1.0,-1.0,-1.0
Clayton,23978.0,6596.0,10854.0,61965.0
Clinch,-1.0,-1.0,-1.0,-1.0
Cobb,30110.0,8010.0,12235.0,189057.0
Coffee,-1.0,-1.0,-1.0,-1.0
Colquitt,-1.0,-1.0,-1.0,-1.0
Columbia,5082.0,1121.0,2232.0,35041.0
Cook,-1.0,-1.0,-1.0,-1.0
Coweta,8094.0,1459.0,2141.0,37257.0
Crawford,-1.0,-1.0,-1.0,-1.0
Crisp,-1.0,-1.0,-1.0,-1.0
Dade,-1.0,-1.0,-1.0,-1.0
Dawson,-1.0,-1.0,-1.0,-1.0
Decatur,-1.0,-1.0,-1.0,-1.0
DeKalb,47187.0,9794.0,15300.0,139515.0
Dodge,-1.0,-1.0,-1.0,-1.0
Dooly,-1.0,-1.0,-1.0,-1.0
Dougherty,11215.0,1527.0,3666.0,14136.0
Douglas,8590.0,1914.0,3941.0,34625.0
Early,-1.0,-1.0,-1.0,-1.0
Echols,-1.0,-1.0,-1.0,-1.0
Effingham,-1.0,-1.0,-1.0,-1.0
Elbert,-1.0,-1.0,-1.0,-1.0
Emanuel,-1.0,-1.0,-1.0,-1.0
Evans,-1.0,-1.0,-1.0,-1.0
Fannin,-1.0,-1.0,-1.0,-1.0
Fayette,3239.0,919.0,1408.0,35372.0
Floyd,7635.0,1164.0,2321.0,18358.0
