county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,345147,187475,205738,223720,248535,237481,101831,165033,981887,853170,649616,1663840
Appling,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Atkinson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bacon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baker,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baldwin,2839,1607,1593,978,921,1553,545,614,4184,3012,2582,5592
Banks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barrow,1697,1209,1372,2589,1848,2981,838,1604,6933,7177,5991,6972
Bartow,3055,1992,1420,2398,1964,1920,1017,1547,11205,8899,7467,13672
Ben Hill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Berrien,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bibb,7846,4973,5002,4496,3414,3275,2108,1364,15084,11792,8378,20706
Bleckley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brantley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Brooks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bryan,444,262,260,358,401,658,145,146,3425,2855,3196,6927
Bulloch,6106,2175,1580,1606,1555,2366,430,1133,6617,6029,3648,7166
Burke,910,628,688,723,1666,871,244,481,2429,1574,959,2055
Butts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Calhoun,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Camden,1278,965,981,1183,1161,939,492,540,5923,5094,2565,6210
Candler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Carroll,5549,2393,2682,2475,2929,3102,1507,2204,12629,10674,9073,13549
Catoosa,963,927,1297,1366,1067,1014,1073,1659,8991,6208,4493,9310
Charlton,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chatham,11036,4608,5759,5180,7112,6063,3009,4079,25293,23432,14304,39221
Chattahoochee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chattooga,1043,427,751,697,1438,572,810,217,3909,3107,1572,786
Cherokee,3060,2206,2476,2981,3489,3801,1995,2850,21445,19007,15255,50164
Clarke,15350,4189,3922,2642,3230,3189,1301,2558,11518,7988,5186,12785
Clay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Clayton,8096,4884,6089,6085,8949,8214,2989,6601,36341,26991,19688,31749
Clinch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cobb,18019,8258,11356,11232,14150,12221,4752,10085,57315,60867,53458,185859
Coffee,1347,977,1065,1706,1385,2063,256,865,4098,2842,2216,3424
Colquitt,1534,1731,2401,2151,1274,1410,631,1010,5844,3034,2211,3554
Columbia,2894,332,825,2483,1370,2358,452,2475,9029,10117,10331,26062
Cook,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coweta,3528,1688,1390,1583,2165,2107,974,2238,10561,12481,10619,24280
Crawford,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Crisp,981,608,1231,752,1278,558,270,412,2130,1559,932,2193
Dade,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dawson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Decatur,1973,872,906,924,686,1088,478,371,3015,2466,1303,2532
DeKalb,28010,13153,16881,18965,21564,19906,7789,13970,76870,69038,47677,149241
Dodge,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dooly,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dougherty,5886,3186,3361,2841,3392,2917,1465,1284,8820,7246,3536,11180
Douglas,3404,1736,1859,2206,2555,3469,1126,1491,13594,11672,11630,24058
Early,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Echols,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Effingham,1216,696,729,1114,920,1314,1155,853,6985,3925,4291,9065
Elbert,1042,285,936,539,1211,641,490,921,2566,1108,1269,1462
Emanuel,976,939,846,1260,702,943,251,383,3183,1528,725,1445
Evans,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fannin,728,863,305,1137,492,1028,329,149,2875,1837,1490,1977
Fayette,1395,742,793,854,1329,1617,344,1202,6801,8977,8374,35761
Floyd,3523,3005,1778,2063,2222,2567,1099,1647,10444,7583,6474,11833
Forsyth,2459,1017,874,1626,2483,1930,957,1479,10752,12759,12578,50077
Franklin,916,492,589,664,986,573,110,299,3045,2431,1500,1348
Fulton,41964,18098,17500,20730,24088,19108,8462,15006,80808,75287,61303,258955
Gilmer,1589,770,1627,1097,1054,702,204,703,3275,2050,1098,3147
Glascock,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Glynn,2170,1329,1888,1664,1218,1374,841,1188,7528,6625,5381,13162
Gordon,1265,1225,1663,1492,2475,1477,617,704,7624,4788,4345,4498
Grady,1242,681,821,698,709,694,480,811,3895,1590,1642,1856
Greene,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gwinnett,16162,10251,10819,15590,17526,15790,7396,12532,71217,76180,64550,174880
Habersham,913,820,844,827,1443,743,589,616,4431,4626,2590,4724
Hall,5004,3000,4195,4598,4962,6063,1897,3658,18794,16611,11659,26302
Hancock,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Haralson,1053,514,1043,709,787,608,641,573,3284,2358,1479,4216
Harris,751,415,406,544,582,695,216,315,2162,2706,2533,6755
Hart,1289,981,327,677,749,981,78,688,2355,2193,1343,2457
Heard,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Henry,3494,2612,1655,1868,3733,3344,1199,2189,20119,18906,17057,39011
Houston,4285,1839,1482,2531,3046,2484,1093,2999,13653,12186,10289,23834
Irwin,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jackson,2221,950,1701,1629,1075,1396,933,1002,7367,5235,4781,7764
Jasper,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jeff Davis,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jefferson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jenkins,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Johnson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jones,1000,352,576,716,518,646,748,785,3168,2046,2700,3580
Lamar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lanier,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Laurens,2596,1002,1561,986,1767,1482,482,1177,4740,3920,2281,5909
Lee,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liberty,2018,1461,1194,1886,1659,2240,776,1193,8174,6445,2811,4939
Lincoln,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Long,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lowndes,5792,2786,2863,2988,2493,3111,1435,1357,11827,8109,6173,12423
Lumpkin,1172,655,545,679,936,875,463,827,3682,2285,1023,2889
McDuffie,598,570,648,937,571,625,628,573,2909,1685,1526,1708
McIntosh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
