,<0.36,<1.38
Appling,576,2244
Atkinson,483,1904
Bacon,245,888
Baker,62,312
Baldwin,1343,5269
Banks,518,2182
Barrow,1622,6794
Bartow,2327,10659
Ben Hill,809,2924
Berrien,495,1789
Bibb,4976,19548
Bleckley,154,556
Brantley,539,2538
Brooks,265,960
Bryan,588,2349
Bulloch,1972,7697
Burke,1028,3714
Butts,394,1640
Calhoun,85,309
Camden,1443,5582
Candler,334,1415
Carroll,3274,13871
Catoosa,1542,6193
Charlton,165,598
Chatham,6233,25922
Chattahoochee,221,1264
Chattooga,722,3255
Cherokee,3558,14626
Clarke,3184,12264
Clay,313,1132
Clayton,9836,39857
Clinch,197,712
Cobb,14847,61831
Coffee,1397,5373
Colquitt,1663,6816
Columbia,1744,8302
Cook,665,2734
Coweta,2797,11409
Crawford,413,1619
Crisp,954,3446
Dade,402,1560
Dawson,588,2731
Decatur,1099,4346
DeKalb,17833,71957
Dodge,753,3037
Dooly,287,1314
Dougherty,4393,17629
Douglas,3887,15903
Early,439,1607
Echols,261,1349
Effingham,1058,4608
Elbert,517,2078
Emanuel,896,3495
Evans,363,1585
Fannin,494,1998
Fayette,1606,6507
Floyd,2807,11522
Forsyth,2106,8691
Franklin,655,2642
Fulton,20314,81170
Gilmer,907,3276
Glascock,28,102
Glynn,2582,9682
Gordon,1808,7462
Grady,982,3978
Greene,315,1137
Gwinnett,23041,102050
Habersham,872,3521
Hall,6036,25024
Hancock,89,324
Haralson,1153,4599
Harris,316,1155
Hart,598,2189
Heard,387,1399
Henry,5228,21117
Houston,3858,15187
Irwin,190,689
Jackson,1321,5419
Jasper,468,1690
Jeff Davis,697,2517
Jefferson,888,3324
Jenkins,647,2546
Johnson,135,515
Jones,601,2446
Lamar,447,1636
Lanier,395,1429
Laurens,1701,6862
Lee,494,1784
Liberty,2625,11272
Lincoln,262,1108
Long,697,3306
Lowndes,3819,15978
Lumpkin,690,2550
McDuffie,781,3129
McIntosh,413,1578
Macon,439,1952
Madison,571,2612
Marion,405,1624
Meriwether,507,2392
Miller,263,951
Mitchell,874,3158
Monroe,623,2563
Montgomery,421,1522
Morgan,482,1835
Murray,1351,6236
Muscogee,5813,24278
Newton,2949,13014
Oconee,327,1249
Oglethorpe,106,385
Paulding,3048,13130
Peach,743,2958
Pickens,621,2465
Pierce,633,2557
Pike,450,1790
Polk,1263,5285
Pulaski,232,1052
Putnam,725,3200
Quitman,48,173
Rabun,411,1628
Randolph,190,687
Richmond,6077,24422
Rockdale,2533,10471
Schley,121,438
Screven,359,1610
Seminole,240,877
Spalding,2103,8512
Stephens,597,2555
Stewart,214,773
Sumter,1384,5591
Talbot,274,1096
Taliaferro,78,348
Tattnall,948,3443
Taylor,306,1206
Telfair,774,3058
Terrell,411,1484
Thomas,1511,6006
Tift,1168,4501
Toombs,1198,4620
Towns,76,354
Treutlen,88,318
Troup,2585,10084
Turner,181,657
Twiggs,198,869
Union,523,1891
Upson,863,3277
Walker,1894,8959
Walton,2245,9142
Ware,1177,4843
Warren,156,563
Washington,513,2226
Wayne,896,3720
Webster,152,552
Wheeler,314,1135
White,666,2547
Whitfield,4656,19311
Wilcox,296,1195
Wilkes,270,1061
Wilkinson,150,544
Worth,653,2457
