,<0.36,<1.38
Appling,574,2243
Atkinson,492,1936
Bacon,249,901
Baker,53,283
Baldwin,1363,5342
Banks,523,2207
Barrow,1623,6811
Bartow,2336,10727
Ben Hill,809,2924
Berrien,477,1725
Bibb,4994,19618
Bleckley,141,510
Brantley,533,2533
Brooks,256,924
Bryan,583,2337
Bulloch,2000,7804
Burke,1039,3752
Butts,390,1624
Calhoun,82,296
Camden,1452,5610
Candler,331,1401
Carroll,3294,13973
Catoosa,1555,6237
Charlton,163,590
Chatham,6280,26068
Chattahoochee,217,1264
Chattooga,726,3296
Cherokee,3596,14752
Clarke,3220,12368
Clay,326,1179
Clayton,9949,40258
Clinch,197,712
Cobb,15050,62635
Coffee,1398,5342
Colquitt,1655,6794
Columbia,1752,8364
Cook,670,2754
Coweta,2825,11497
Crawford,415,1607
Crisp,952,3438
Dade,401,1546
Dawson,599,2799
Decatur,1108,4392
DeKalb,17984,72484
Dodge,769,3100
Dooly,275,1274
Dougherty,4432,17798
Douglas,3937,16083
Early,440,1612
Echols,266,1388
Effingham,1068,4636
Elbert,511,2054
Emanuel,896,3491
Evans,364,1595
Fannin,497,2001
Fayette,1643,6627
Floyd,2828,11589
Forsyth,2127,8781
Franklin,659,2655
Fulton,20491,81846
Gilmer,920,3323
Glascock,21,77
Glynn,2626,9813
Gordon,1824,7506
Grady,987,4007
Greene,302,1092
Gwinnett,23300,103311
Habersham,868,3483
Hall,6080,25222
Hancock,71,258
Haralson,1174,4699
Harris,314,1137
Hart,596,2158
Heard,381,1377
Henry,5317,21434
Houston,3909,15362
Irwin,191,693
Jackson,1318,5396
Jasper,471,1706
Jeff Davis,708,2556
Jefferson,906,3383
Jenkins,665,2620
Johnson,128,483
Jones,605,2465
Lamar,447,1636
Lanier,397,1434
Laurens,1708,6876
Lee,493,1781
Liberty,2630,11330
Lincoln,256,1105
Long,714,3407
Lowndes,3850,16111
Lumpkin,703,2582
McDuffie,792,3177
McIntosh,420,1599
Macon,441,1963
Madison,561,2587
Marion,414,1652
Meriwether,503,2383
Miller,265,957
Mitchell,873,3155
Monroe,629,2572
Montgomery,435,1573
Morgan,484,1829
Murray,1355,6287
Muscogee,5841,24436
Newton,2976,13128
Oconee,324,1233
Oglethorpe,96,346
Paulding,3084,13323
Peach,739,2931
Pickens,629,2470
Pierce,642,2605
Pike,456,1810
Polk,1257,5253
Pulaski,232,1062
Putnam,743,3275
Quitman,46,168
Rabun,413,1647
Randolph,185,668
Richmond,6059,24347
Rockdale,2568,10611
Schley,119,432
Screven,364,1637
Seminole,234,846
Spalding,2111,8555
Stephens,589,2538
Stewart,220,795
Sumter,1389,5620
Talbot,285,1133
Taliaferro,82,373
Tattnall,970,3516
Taylor,301,1189
Telfair,789,3108
Terrell,411,1486
Thomas,1508,6008
Tift,1158,4450
Toombs,1203,4636
Towns,71,331
Treutlen,76,274
Troup,2609,10169
Turner,170,616
Twiggs,197,878
Union,533,1927
Upson,867,3290
Walker,1908,9046
Walton,2259,9190
Ware,1190,4907
Warren,155,560
Washington,506,2212
Wayne,897,3736
Webster,161,583
Wheeler,325,1175
White,648,2472
Whitfield,4706,19542
Wilcox,301,1221
Wilkes,273,1076
Wilkinson,143,519
Worth,653,2441
