,<0.36,<1.38
Appling,570,2247
Atkinson,512,2017
Bacon,256,927
Baker,30,214
Baldwin,1410,5516
Banks,535,2267
Barrow,1628,6862
Bartow,2359,10897
Ben Hill,810,2925
Berrien,433,1567
Bibb,5035,19781
Bleckley,112,405
Brantley,518,2520
Brooks,231,837
Bryan,570,2304
Bulloch,2070,8076
Burke,1064,3843
Butts,381,1588
Calhoun,73,265
Camden,1473,5688
Candler,324,1363
Carroll,3339,14214
Catoosa,1590,6350
Charlton,159,575
Chatham,6394,26428
Chattahoochee,211,1264
Chattooga,737,3402
Cherokee,3690,15056
Clarke,3310,12620
Clay,358,1295
Clayton,10228,41244
Clinch,197,711
Cobb,15547,64598
Coffee,1399,5267
Colquitt,1634,6736
Columbia,1770,8517
Cook,680,2799
Coweta,2895,11711
Crawford,418,1566
Crisp,949,3430
Dade,399,1512
Dawson,627,2974
Decatur,1135,4512
DeKalb,18357,73766
Dodge,810,3257
Dooly,246,1180
Dougherty,4530,18215
Douglas,4059,16524
Early,444,1636
Echols,280,1491
Effingham,1093,4715
Elbert,497,1998
Emanuel,895,3472
Evans,366,1625
Fannin,508,2019
Fayette,1736,6924
Floyd,2879,11743
Forsyth,2178,9000
Franklin,671,2689
Fulton,20922,83500
Gilmer,952,3438
Glascock,5,21
Glynn,2732,10122
Gordon,1864,7615
Grady,1000,4085
Greene,269,974
Gwinnett,23933,106409
Habersham,858,3386
Hall,6185,25698
Hancock,26,95
Haralson,1228,4961
Harris,309,1119
Hart,591,2137
Heard,363,1313
Henry,5534,22203
Houston,4036,15800
Irwin,195,707
Jackson,1308,5338
Jasper,479,1782
Jeff Davis,735,2655
Jefferson,948,3521
Jenkins,712,2808
Johnson,113,412
Jones,617,2524
Lamar,449,1645
Lanier,400,1446
Laurens,1725,6900
Lee,491,1773
Liberty,2641,11459
Lincoln,241,1099
Long,755,3655
Lowndes,3928,16436
Lumpkin,734,2651
McDuffie,821,3303
McIntosh,439,1658
Macon,446,1985
Madison,537,2535
Marion,433,1714
Meriwether,495,2359
Miller,271,980
Mitchell,870,3143
Monroe,644,2597
Montgomery,471,1702
Morgan,487,1809
Murray,1367,6418
Muscogee,5905,24815
Newton,3040,13405
Oconee,314,1192
Oglethorpe,69,252
Paulding,3168,13793
Peach,727,2855
Pickens,648,2491
Pierce,666,2726
Pike,472,1860
Polk,1242,5182
Pulaski,236,1100
Putnam,788,3476
Quitman,45,162
Rabun,420,1698
Randolph,173,624
Richmond,6015,24154
Rockdale,2652,10953
Schley,116,420
Screven,377,1706
Seminole,219,793
Spalding,2130,8653
Stephens,570,2492
Stewart,236,853
Sumter,1401,5689
Talbot,310,1225
Taliaferro,91,434
Tattnall,1024,3699
Taylor,289,1151
Telfair,825,3223
Terrell,412,1490
Thomas,1501,6012
Tift,1134,4323
Toombs,1215,4675
Towns,59,277
Treutlen,46,167
Troup,2671,10389
Turner,142,513
Twiggs,194,906
Union,559,2020
Upson,877,3323
Walker,1944,9260
Walton,2295,9313
Ware,1221,5070
Warren,155,560
Washington,488,2185
Wayne,901,3782
Webster,182,659
Wheeler,353,1275
White,604,2286
Whitfield,4829,20102
Wilcox,313,1287
Wilkes,279,1114
Wilkinson,128,463
Worth,654,2394
