,<0.36,<1.38
Appling,592,2306
Atkinson,406,1660
Bacon,206,776
Baker,126,530
Baldwin,1187,4713
Banks,468,1995
Barrow,1606,6672
Bartow,2234,9970
Ben Hill,792,3007
Berrien,623,2291
Bibb,4798,18856
Bleckley,251,908
Brantley,580,2517
Brooks,347,1332
Bryan,629,2499
Bulloch,1751,6898
Burke,939,3626
Butts,434,1781
Calhoun,105,382
Camden,1386,5371
Candler,347,1530
Carroll,3096,12933
Catoosa,1431,5853
Charlton,197,712
Chatham,5825,24585
Chattahoochee,238,1240
Chattooga,702,3016
Cherokee,3233,13495
Clarke,2885,11394
Clay,213,770
Clayton,8873,36361
Clinch,203,748
Cobb,13165,55096
Coffee,1378,5532
Colquitt,1711,6924
Columbia,1663,7742
Cook,622,2632
Coweta,2551,10617
Crawford,388,1672
Crisp,971,3594
Dade,411,1725
Dawson,509,2208
Decatur,1050,4046
DeKalb,16466,67069
Dodge,638,2524
Dooly,386,1634
Dougherty,4045,16147
Douglas,3483,14442
Early,417,1567
Echols,223,1071
Effingham,969,4346
Elbert,565,2264
Emanuel,874,3445
Evans,350,1492
Fannin,475,2023
Fayette,1324,5645
Floyd,2613,10913
Forsyth,1916,7917
Franklin,628,2501
Fulton,18741,75123
Gilmer,808,3049
Glascock,91,330
Glynn,2235,8654
Gordon,1673,7062
Grady,940,3714
Greene,399,1518
Gwinnett,20856,91547
Habersham,901,3794
Hall,5615,23097
Hancock,232,883
Haralson,983,3878
Harris,319,1250
Hart,604,2424
Heard,430,1556
Henry,4490,18486
Houston,3443,13764
Irwin,196,708
Jackson,1331,5534
Jasper,445,1610
Jeff Davis,616,2227
Jefferson,741,2814
Jenkins,508,1999
Johnson,199,811
Jones,579,2379
Lamar,444,1706
Lanier,388,1454
Laurens,1607,6622
Lee,515,1973
Liberty,2562,10770
Lincoln,309,1176
Long,547,2483
Lowndes,3524,14712
Lumpkin,581,2295
McDuffie,707,2819
McIntosh,366,1464
Macon,423,1863
Madison,653,2834
Marion,342,1420
Meriwether,543,2473
Miller,250,904
Mitchell,881,3434
Monroe,599,2578
Montgomery,324,1170
Morgan,472,1907
Murray,1314,5877
Muscogee,5510,22662
Newton,2705,11956
Oconee,368,1457
Oglethorpe,207,790
Paulding,2739,11517
Peach,777,3088
Pickens,551,2426
Pierce,566,2205
Pike,406,1635
Polk,1305,5552
Pulaski,236,993
Putnam,598,2665
Quitman,82,298
Rabun,393,1480
Randolph,211,793
Richmond,6133,24688
Rockdale,2267,9339
Schley,138,498
Screven,321,1415
Seminole,287,1200
Spalding,2029,8146
Stephens,651,2679
Stewart,170,614
Sumter,1318,5277
Talbot,232,950
Taliaferro,58,209
Tattnall,773,2921
Taylor,351,1414
Telfair,656,2671
Terrell,403,1484
Thomas,1502,5935
Tift,1221,4807
Toombs,1154,4468
Towns,112,509
Treutlen,177,718
Troup,2366,9334
Turner,262,964
Twiggs,207,851
Union,439,1586
Upson,823,3157
Walker,1777,8226
Walton,2111,8658
Ware,1060,4312
Warren,173,624
Washington,562,2297
Wayne,893,3646
Webster,90,328
Wheeler,248,985
White,796,3117
Whitfield,4245,17502
Wilcox,265,1037
Wilkes,245,968
Wilkinson,213,863
Worth,635,2573
