,1.00-1.38,1.00-4.00
Appling,574,6339
Atkinson,503,3897
Bacon,480,5554
Baker,207,1931
Baldwin,1507,13035
Banks,1177,8341
Barrow,2126,28637
Bartow,3864,39809
Ben Hill,1105,6154
Berrien,1319,8294
Bibb,6672,51033
Bleckley,235,4007
Brantley,254,5545
Brooks,781,6362
Bryan,972,9699
Bulloch,2727,20968
Burke,618,6695
Butts,918,8289
Calhoun,140,2175
Camden,940,18234
Candler,870,4751
Carroll,4730,40071
Catoosa,2614,24328
Charlton,193,5035
Chatham,11439,98905
Chattahoochee,202,4075
Chattooga,1331,9743
Cherokee,5550,69669
Clarke,5236,33861
Clay,227,1949
Clayton,12471,110135
Clinch,344,2973
Cobb,21226,205377
Coffee,1467,15655
Colquitt,1886,15804
Columbia,3235,41511
Cook,695,7038
Coweta,4073,43898
Crawford,554,5339
Crisp,835,8101
Dade,800,6062
Dawson,613,8763
Decatur,1165,8673
DeKalb,27815,237688
Dodge,1127,6884
Dooly,565,5123
Dougherty,4917,31406
Douglas,4683,48775
Early,283,4838
Echols,179,1547
Effingham,1642,18537
Elbert,833,7600
Emanuel,1188,7646
Evans,550,4224
Fannin,1102,8637
Fayette,1580,24770
Floyd,4268,33823
Forsyth,3340,42311
Franklin,941,6775
Fulton,30712,261395
Gilmer,1239,10888
Glascock,503,1783
Glynn,2985,24996
Gordon,2834,20596
Grady,865,8133
Greene,779,6261
Gwinnett,28572,265777
Habersham,1259,13427
Hall,7297,63439
Hancock,1073,4142
Haralson,1283,10230
Harris,392,7955
Hart,704,8720
Heard,471,5473
Henry,5993,72175
Houston,4299,47134
Irwin,731,4240
Jackson,1326,20322
Jasper,481,5872
Jeff Davis,572,5513
Jefferson,746,5305
Jenkins,279,3012
Johnson,186,3508
Jones,520,9902
Lamar,898,7742
Lanier,583,3244
Laurens,2643,15713
Lee,868,9913
Liberty,2404,25198
Lincoln,534,3111
Long,692,7063
Lowndes,5696,40916
Lumpkin,1642,12173
McDuffie,957,8205
McIntosh,700,6668
Macon,699,4974
Madison,842,10141
Marion,468,3433
Meriwether,1224,9055
Miller,559,1655
Mitchell,1076,7248
Monroe,1352,9162
Montgomery,264,3689
Morgan,859,5789
Murray,1729,16042
Muscogee,7762,66640
Newton,3628,36953
Oconee,274,7094
Oglethorpe,100,5053
Paulding,3440,52401
Peach,719,7415
Pickens,1488,9995
Pierce,995,8247
Pike,509,6729
Polk,1732,14802
Pulaski,749,5241
Putnam,1261,8251
Quitman,344,2335
Rabun,785,6538
Randolph,411,2945
Richmond,7833,74047
Rockdale,3133,32326
Schley,188,2408
Screven,732,6098
Seminole,441,3018
Spalding,2730,24517
Stephens,1253,8757
Stewart,328,2859
Sumter,1148,9505
Talbot,439,2526
Taliaferro,614,1179
Tattnall,885,6679
Taylor,345,2844
Telfair,306,4218
Terrell,507,3756
Thomas,1512,14025
Tift,1354,13291
Toombs,1070,9315
Towns,792,4049
Treutlen,415,2909
Troup,2525,23524
Turner,270,3102
Twiggs,476,2511
Union,779,5791
Upson,1297,11415
Walker,3543,27786
Walton,2434,28310
Ware,1508,12334
Warren,514,3693
Washington,744,6116
Wayne,1379,10108
Webster,378,1711
Wheeler,221,2438
White,1282,9998
Whitfield,4933,42039
Wilcox,366,2889
Wilkes,450,4074
Wilkinson,403,3997
Worth,939,8021
