,<0.36,<1.38
Appling,581,2255
Atkinson,462,1830
Bacon,238,859
Baker,81,378
Baldwin,1299,5105
Banks,504,2119
Barrow,1619,6760
Bartow,2306,10491
Ben Hill,808,2937
Berrien,535,1933
Bibb,4934,19381
Bleckley,183,663
Brantley,551,2539
Brooks,290,1047
Bryan,599,2384
Bulloch,1908,7461
Burke,1003,3625
Butts,404,1678
Calhoun,92,333
Camden,1426,5526
Candler,337,1440
Carroll,3230,13637
Catoosa,1509,6092
Charlton,172,622
Chatham,6124,25581
Chattahoochee,228,1259
Chattooga,713,3169
Cherokee,3470,14333
Clarke,3099,12021
Clay,284,1025
Clayton,9570,38908
Clinch,199,719
Cobb,14371,59944
Coffee,1398,5445
Colquitt,1683,6863
Columbia,1725,8156
Cook,654,2694
Coweta,2730,11202
Crawford,406,1640
Crisp,959,3464
Dade,403,1600
Dawson,563,2576
Decatur,1080,4247
DeKalb,17474,70701
Dodge,717,2890
Dooly,316,1416
Dougherty,4300,17238
Douglas,3771,15478
Early,436,1601
Echols,250,1264
Effingham,1036,4537
Elbert,531,2139
Emanuel,895,3500
Evans,361,1560
Fannin,486,1997
Fayette,1519,6234
Floyd,2754,11352
Forsyth,2056,8481
Franklin,646,2611
Fulton,19895,79569
Gilmer,878,3171
Glascock,44,161
Glynn,2481,9378
Gordon,1770,7361
Grady,972,3915
Greene,342,1237
Gwinnett,22433,99094
Habersham,881,3609
Hall,5930,24543
Hancock,132,499
Haralson,1103,4372
Harris,320,1195
Hart,602,2267
Heard,399,1443
Henry,5018,20371
Houston,3740,14786
Irwin,189,683
Jackson,1328,5469
Jasper,461,1667
Jeff Davis,673,2430
Jefferson,847,3185
Jenkins,605,2370
Johnson,153,595
Jones,593,2411
Lamar,447,1645
Lanier,392,1417
Laurens,1682,6824
Lee,495,1790
Liberty,2612,11138
Lincoln,277,1126
Long,657,3071
Lowndes,3743,15661
Lumpkin,658,2477
McDuffie,757,3023
McIntosh,399,1540
Macon,433,1922
Madison,596,2677
Marion,385,1558
Meriwether,516,2412
Miller,260,939
Mitchell,875,3212
Monroe,610,2550
Montgomery,389,1406
Morgan,478,1854
Murray,1343,6129
Muscogee,5746,23898
Newton,2885,12736
Oconee,336,1294
Oglethorpe,132,479
Paulding,2964,12674
Peach,753,3009
Pickens,603,2455
Pierce,614,2456
Pike,436,1740
Polk,1277,5361
Pulaski,232,1029
Putnam,686,3029
Quitman,54,196
Rabun,406,1586
Randolph,201,728
Richmond,6115,24583
Rockdale,2455,10146
Schley,125,452
Screven,347,1549
Seminole,253,954
Spalding,2085,8415
Stephens,613,2593
Stewart,201,726
Sumter,1369,5517
Talbot,254,1025
Taliaferro,69,298
Tattnall,897,3278
Taylor,315,1241
Telfair,739,2943
Terrell,408,1475
Thomas,1515,5995
Tift,1190,4615
Toombs,1186,4580
Towns,88,412
Treutlen,115,418
Troup,2529,9894
Turner,208,751
Twiggs,201,855
Union,501,1809
Upson,855,3251
Walker,1860,8756
Walton,2211,9026
Ware,1146,4697
Warren,158,572
Washington,530,2260
Wayne,895,3699
Webster,133,483
Wheeler,289,1052
White,708,2729
Whitfield,4538,18778
Wilcox,285,1137
Wilkes,265,1033
Wilkinson,167,603
Worth,650,2492
