,1.00-1.38,1.00-4.00
Appling,653,6169
Atkinson,417,3394
Bacon,514,4840
Baker,161,1538
Baldwin,1455,12270
Banks,1084,7411
Barrow,2040,26473
Bartow,3477,36312
Ben Hill,1025,6021
Berrien,1168,7737
Bibb,6080,47051
Bleckley,315,3699
Brantley,324,5814
Brooks,730,6065
Bryan,827,8824
Bulloch,2540,19767
Burke,722,6725
Butts,843,7838
Calhoun,200,1990
Camden,971,17052
Candler,688,4148
Carroll,4285,37186
Catoosa,2374,22714
Charlton,198,4749
Chatham,10255,90352
Chattahoochee,180,3702
Chattooga,1320,9472
Cherokee,5104,63899
Clarke,4806,31968
Clay,207,1590
Clayton,11362,101949
Clinch,303,2778
Cobb,19156,189409
Coffee,1363,14197
Colquitt,1832,15000
Columbia,2874,37336
Cook,679,6505
Coweta,3607,39813
Crawford,505,5057
Crisp,789,7420
Dade,708,5660
Dawson,641,7938
Decatur,1117,8355
DeKalb,25630,221757
Dodge,974,6522
Dooly,530,4530
Dougherty,4556,29537
Douglas,4181,44753
Early,327,4256
Echols,132,1295
Effingham,1460,17192
Elbert,796,7317
Emanuel,1169,7460
Evans,395,3837
Fannin,971,8123
Fayette,1489,22832
Floyd,3805,31410
Forsyth,3080,38837
Franklin,907,6828
Fulton,28412,243876
Gilmer,1174,10073
Glascock,340,1496
Glynn,2697,23384
Gordon,2535,19337
Grady,909,7741
Greene,725,5781
Gwinnett,25674,245059
Habersham,1266,12771
Hall,6636,58808
Hancock,960,3771
Haralson,1117,9450
Harris,469,7783
Hart,683,8044
Heard,418,4796
Henry,5395,65834
Houston,3898,43187
Irwin,627,3791
Jackson,1325,19169
Jasper,544,5398
Jeff Davis,579,5387
Jefferson,778,5372
Jenkins,322,2844
Johnson,250,3331
Jones,552,9154
Lamar,800,6964
Lanier,524,3199
Laurens,2446,14664
Lee,799,9060
Liberty,2280,23566
Lincoln,475,2862
Long,661,6322
Lowndes,5083,37623
Lumpkin,1507,11152
McDuffie,794,7709
McIntosh,722,6032
Macon,662,4828
Madison,849,9396
Marion,464,3204
Meriwether,1066,8387
Miller,459,1834
Mitchell,985,6811
Monroe,1209,8462
Montgomery,279,3337
Morgan,782,5552
Murray,1607,15279
Muscogee,6995,61149
Newton,3304,34285
Oconee,372,6898
Oglethorpe,135,4787
Paulding,3113,47868
Peach,715,6989
Pickens,1373,9562
Pierce,814,7419
Pike,542,6333
Polk,1645,14087
Pulaski,606,4884
Putnam,1250,7815
Quitman,306,1947
Rabun,741,5977
Randolph,492,2892
Richmond,7185,67983
Rockdale,2870,29304
Schley,173,2210
Screven,624,5452
Seminole,497,2873
Spalding,2556,22842
Stephens,1196,8371
Stewart,408,2623
Sumter,1136,9142
Talbot,449,2437
Taliaferro,447,1022
Tattnall,885,6625
Taylor,393,2865
Telfair,425,4238
Terrell,423,3442
Thomas,1400,13012
Tift,1325,12612
Toombs,933,8528
Towns,628,3764
Treutlen,393,2592
Troup,2302,21793
Turner,378,2960
Twiggs,440,2691
Union,659,5542
Upson,1167,10447
Walker,3165,25652
Walton,2257,26559
Ware,1346,11337
Warren,406,3013
Washington,717,5945
Wayne,1331,9565
Webster,289,1434
Wheeler,187,2078
White,1093,9048
Whitfield,4419,38260
Wilcox,362,2688
Wilkes,448,3728
Wilkinson,424,3740
Worth,851,7359
