,<0.36,<1.38
Appling,586,2270
Atkinson,438,1754
Bacon,228,824
Baker,104,452
Baldwin,1245,4911
Banks,488,2055
Barrow,1615,6724
Bartow,2279,10270
Ben Hill,804,2982
Berrien,578,2090
Bibb,4879,19168
Bleckley,217,785
Brantley,563,2529
Brooks,317,1147
Bryan,611,2427
Bulloch,1832,7193
Burke,974,3617
Butts,417,1721
Calhoun,99,358
Camden,1408,5463
Candler,341,1473
Carroll,3174,13337
Catoosa,1471,5972
Charlton,182,657
Chatham,5988,25150
Chattahoochee,235,1253
Chattooga,706,3085
Cherokee,3361,13959
Clarke,2997,11721
Clay,249,901
Clayton,9246,37749
Clinch,201,728
Cobb,13802,57673
Coffee,1394,5513
Colquitt,1700,6903
Columbia,1698,7966
Cook,642,2661
Coweta,2648,10939
Crawford,397,1661
Crisp,965,3499
Dade,404,1649
Dawson,535,2398
Decatur,1061,4136
DeKalb,17024,69103
Dodge,677,2715
Dooly,350,1528
Dougherty,4186,16753
Douglas,3633,14977
Early,431,1590
Echols,237,1168
Effingham,1007,4446
Elbert,549,2212
Emanuel,891,3495
Evans,356,1525
Fannin,480,2009
Fayette,1422,5934
Floyd,2688,11144
Forsyth,1994,8227
Franklin,635,2561
Fulton,19374,77568
Gilmer,844,3094
Glascock,64,234
Glynn,2362,9023
Gordon,1725,7234
Grady,958,3828
Greene,373,1368
Gwinnett,21695,95534
Habersham,891,3707
Hall,5794,23915
Hancock,181,695
Haralson,1045,4115
Harris,324,1241
Hart,606,2356
Heard,412,1488
Henry,4767,19479
Houston,3599,14302
Irwin,188,682
Jackson,1334,5520
Jasper,455,1645
Jeff Davis,645,2331
Jefferson,797,3015
Jenkins,554,2169
Johnson,175,696
Jones,587,2384
Lamar,447,1662
Lanier,388,1402
Laurens,1652,6751
Lee,500,1823
Liberty,2593,10974
Lincoln,294,1148
Long,607,2792
Lowndes,3646,15249
Lumpkin,621,2390
McDuffie,731,2912
McIntosh,383,1500
Macon,427,1885
Madison,627,2760
Marion,362,1490
Meriwether,526,2434
Miller,254,917
Mitchell,877,3299
Monroe,599,2543
Montgomery,354,1279
Morgan,475,1877
Murray,1334,6009
Muscogee,5651,23388
Newton,2805,12387
Oconee,348,1355
Oglethorpe,165,599
Paulding,2858,12122
Peach,766,3060
Pickens,580,2440
Pierce,591,2343
Pike,419,1681
Polk,1291,5446
Pulaski,233,1005
Putnam,640,2832
Quitman,64,231
Rabun,400,1537
Randolph,211,767
Richmond,6147,24719
Rockdale,2363,9760
Schley,128,465
Screven,333,1476
Seminole,269,1059
Spalding,2060,8292
Stephens,631,2633
Stewart,186,674
Sumter,1348,5420
Talbot,236,964
Taliaferro,61,244
Tattnall,838,3097
Taylor,327,1296
Telfair,698,2807
Terrell,404,1460
Thomas,1514,5977
Tift,1211,4727
Toombs,1171,4531
Towns,101,472
Treutlen,146,529
Troup,2458,9648
Turner,237,855
Twiggs,206,849
Union,474,1713
Upson,843,3215
Walker,1821,8518
Walton,2169,8875
Ware,1108,4522
Warren,162,587
Washington,547,2284
Wayne,895,3675
Webster,113,408
Wheeler,264,998
White,754,2932
Whitfield,4398,18154
Wilcox,273,1072
Wilkes,258,1004
Wilkinson,187,683
Worth,644,2524
