,1.00-1.38,1.00-4.00
Appling,672,6193
Atkinson,399,3288
Bacon,525,4674
Baker,151,1457
Baldwin,1435,12068
Banks,1055,7157
Barrow,2019,25929
Bartow,3382,35423
Ben Hill,999,5963
Berrien,1129,7576
Bibb,5931,46026
Bleckley,336,3643
Brantley,340,5859
Brooks,712,5978
Bryan,789,8610
Bulloch,2489,19438
Burke,745,6704
Butts,814,7685
Calhoun,219,1955
Camden,976,16741
Candler,651,4024
Carroll,4176,36443
Catoosa,2316,22304
Charlton,200,4654
Chatham,9946,88161
Chattahoochee,172,3605
Chattooga,1312,9390
Cherokee,4988,62410
Clarke,4702,31482
Clay,197,1521
Clayton,11081,99848
Clinch,292,2719
Cobb,18638,185305
Coffee,1337,13840
Colquitt,1824,14797
Columbia,2788,36290
Cook,676,6383
Coweta,3486,38774
Crawford,499,5000
Crisp,779,7247
Dade,689,5593
Dawson,645,7761
Decatur,1110,8280
DeKalb,25075,217598
Dodge,946,6449
Dooly,520,4387
Dougherty,4467,29035
Douglas,4055,43725
Early,336,4104
Echols,126,1264
Effingham,1417,16844
Elbert,785,7262
Emanuel,1164,7405
Evans,361,3738
Fannin,939,8025
Fayette,1472,22362
Floyd,3687,30769
Forsyth,3016,37961
Franklin,895,6831
Fulton,27815,239279
Gilmer,1158,9853
Glascock,300,1452
Glynn,2629,23000
Gordon,2461,19013
Grady,914,7622
Greene,710,5653
Gwinnett,24947,239721
Habersham,1268,12611
Hall,6477,57641
Hancock,936,3738
Haralson,1080,9242
Harris,497,7759
Hart,678,7877
Heard,403,4645
Henry,5240,64232
Houston,3792,42179
Irwin,598,3678
Jackson,1323,18846
Jasper,551,5273
Jeff Davis,581,5370
Jefferson,787,5380
Jenkins,337,2812
Johnson,265,3269
Jones,557,8972
Lamar,781,6763
Lanier,513,3193
Laurens,2396,14407
Lee,778,8843
Liberty,2253,23165
Lincoln,465,2834
Long,650,6135
Lowndes,4933,36769
Lumpkin,1472,10881
McDuffie,754,7578
McIntosh,724,5881
Macon,653,4777
Madison,851,9181
Marion,459,3180
Meriwether,1033,8228
Miller,436,1892
Mitchell,967,6719
Monroe,1171,8261
Montgomery,284,3265
Morgan,756,5530
Murray,1580,15079
Muscogee,6810,59756
Newton,3222,33589
Oconee,390,6813
Oglethorpe,173,4768
Paulding,3029,46710
Peach,717,6896
Pickens,1339,9447
Pierce,767,7201
Pike,555,6257
Polk,1623,13897
Pulaski,577,4817
Putnam,1245,7714
Quitman,308,1901
Rabun,718,5817
Randolph,509,2926
Richmond,7016,66436
Rockdale,2809,28577
Schley,170,2200
Screven,593,5306
Seminole,514,2843
Spalding,2515,22394
Stephens,1179,8302
Stewart,426,2561
Sumter,1127,9050
Talbot,456,2421
Taliaferro,401,1009
Tattnall,884,6627
Taylor,401,2831
Telfair,458,4245
Terrell,405,3358
Thomas,1365,12739
Tift,1316,12441
Toombs,902,8341
Towns,589,3675
Treutlen,394,2517
Troup,2242,21343
Turner,407,2937
Twiggs,437,2747
Union,634,5485
Upson,1134,10216
Walker,3063,25086
Walton,2207,26097
Ware,1313,11112
Warren,385,2881
Washington,709,5887
Wayne,1321,9433
Webster,272,1381
Wheeler,184,2001
White,1047,8800
Whitfield,4289,37285
Wilcox,363,2653
Wilkes,443,3624
Wilkinson,438,3682
Worth,842,7234
