,1.00-1.38,1.00-4.00
Appling,538,6386
Atkinson,530,4056
Bacon,476,5756
Baker,221,2050
Baldwin,1511,13190
Banks,1198,8589
Barrow,2133,29158
Bartow,3967,40711
Ben Hill,1120,6147
Berrien,1352,8400
Bibb,6825,52001
Bleckley,202,4075
Brantley,237,5491
Brooks,795,6449
Bryan,1013,9933
Bulloch,2765,21220
Burke,579,6625
Butts,929,8356
Calhoun,138,2259
Camden,925,18520
Candler,928,4919
Carroll,4845,40709
Catoosa,2677,24714
Charlton,195,5094
Chatham,11750,101064
Chattahoochee,209,4176
Chattooga,1325,9772
Cherokee,5665,71073
Clarke,5351,34286
Clay,230,2086
Clayton,12755,112084
Clinch,359,3034
Cobb,21765,209209
Coffee,1494,16041
Colquitt,1894,15961
Columbia,3329,42596
Cook,703,7182
Coweta,4195,44937
Crawford,574,5405
Crisp,843,8271
Dade,830,6182
Dawson,607,8991
Decatur,1175,8732
DeKalb,28340,241220
Dodge,1177,6974
Dooly,576,5298
Dougherty,5007,31817
Douglas,4815,49757
Early,261,4996
Echols,205,1654
Effingham,1697,18847
Elbert,839,7665
Emanuel,1187,7663
Evans,595,4330
Fannin,1131,8744
Fayette,1602,25257
Floyd,4390,34380
Forsyth,3408,43187
Franklin,945,6732
Fulton,31255,265268
Gilmer,1255,11077
Glascock,552,1876
Glynn,3062,25389
Gordon,2915,20877
Grady,842,8193
Greene,790,6357
Gwinnett,29342,270750
Habersham,1253,13574
Hall,7472,64545
Hancock,1107,4259
Haralson,1332,10421
Harris,373,7979
Hart,710,8880
Heard,487,5669
Henry,6154,73789
Houston,4395,48105
Irwin,753,4363
Jackson,1318,20559
Jasper,457,5995
Jeff Davis,570,5545
Jefferson,738,5303
Jenkins,264,3052
Johnson,174,3580
Jones,507,10064
Lamar,922,7947
Lanier,601,3247
Laurens,2696,15941
Lee,879,10110
Liberty,2429,25574
Lincoln,553,3191
Long,698,7271
Lowndes,5862,41732
Lumpkin,1673,12406
McDuffie,1002,8301
McIntosh,693,6859
Macon,711,5040
Madison,838,10300
Marion,468,3509
Meriwether,1266,9195
Miller,585,1624
Mitchell,1095,7356
Monroe,1382,9325
Montgomery,255,3794
Morgan,884,5837
Murray,1761,16172
Muscogee,7959,67989
Newton,3708,37580
Oconee,253,7113
Oglethorpe,91,5131
Paulding,3523,53546
Peach,717,7505
Pickens,1513,10073
Pierce,1049,8460
Pike,503,6868
Polk,1749,14916
Pulaski,789,5324
Putnam,1257,8342
Quitman,361,2503
Rabun,795,6663
Randolph,382,2977
Richmond,7988,75545
Rockdale,3202,33119
Schley,192,2477
Screven,754,6266
Seminole,426,3047
Spalding,2766,24892
Stephens,1258,8836
Stewart,302,2943
Sumter,1143,9550
Talbot,437,2539
Taliaferro,660,1213
Tattnall,877,6666
Taylor,343,2839
Telfair,265,4221
Terrell,528,3837
Thomas,1538,14252
Tift,1358,13455
Toombs,1105,9518
Towns,842,4119
Treutlen,424,2999
Troup,2571,23907
Turner,240,3141
Twiggs,488,2467
Union,808,5824
Upson,1325,11650
Walker,3643,28305
Walton,2476,28691
Ware,1560,12599
Warren,552,3921
Washington,746,6115
Wayne,1380,10223
Webster,405,1780
Wheeler,228,2533
White,1341,10245
Whitfield,5071,42986
Wilcox,371,2955
Wilkes,453,4160
Wilkinson,396,4047
Worth,974,8217
