,<0.36,<1.38
Appling,584,2262
Atkinson,450,1792
Bacon,233,842
Baker,93,414
Baldwin,1273,5010
Banks,496,2085
Barrow,1618,6744
Bartow,2294,10389
Ben Hill,807,2962
Berrien,557,2011
Bibb,4910,19285
Bleckley,200,722
Brantley,557,2535
Brooks,303,1094
Bryan,605,2405
Bulloch,1871,7332
Burke,989,3617
Butts,409,1697
Calhoun,95,345
Camden,1417,5496
Candler,338,1454
Carroll,3204,13499
Catoosa,1491,6034
Charlton,176,638
Chatham,6060,25382
Chattahoochee,232,1258
Chattooga,709,3127
Cherokee,3418,14157
Clarke,3050,11876
Clay,267,965
Clayton,9415,38356
Clinch,200,724
Cobb,14099,58856
Coffee,1397,5482
Colquitt,1692,6884
Columbia,1713,8066
Cook,649,2679
Coweta,2691,11079
Crawford,401,1651
Crisp,962,3475
Dade,404,1624
Dawson,550,2490
Decatur,1071,4193
DeKalb,17262,69952
Dodge,697,2803
Dooly,333,1471
Dougherty,4246,17010
Douglas,3704,15238
Early,434,1597
Echols,243,1217
Effingham,1023,4493
Elbert,540,2176
Emanuel,893,3501
Evans,359,1544
Fannin,483,2004
Fayette,1472,6088
Floyd,2722,11253
Forsyth,2027,8359
Franklin,640,2587
Fulton,19649,78625
Gilmer,862,3115
Glascock,54,196
Glynn,2423,9206
Gordon,1749,7304
Grady,966,3875
Greene,358,1293
Gwinnett,22081,97389
Habersham,886,3658
Hall,5867,24249
Hancock,156,594
Haralson,1075,4246
Harris,322,1219
Hart,605,2311
Heard,405,1464
Henry,4898,19942
Houston,3672,14554
Irwin,188,681
Jackson,1332,5496
Jasper,459,1657
Jeff Davis,659,2382
Jefferson,822,3103
Jenkins,580,2268
Johnson,164,644
Jones,590,2396
Lamar,447,1650
Lanier,390,1408
Laurens,1667,6791
Lee,497,1796
Liberty,2604,11061
Lincoln,286,1138
Long,633,2937
Lowndes,3698,15470
Lumpkin,640,2435
McDuffie,743,2966
McIntosh,392,1522
Macon,430,1903
Madison,612,2721
Marion,373,1524
Meriwether,520,2421
Miller,257,930
Mitchell,876,3254
Monroe,604,2545
Montgomery,372,1344
Morgan,477,1866
Murray,1339,6070
Muscogee,5703,23663
Newton,2847,12571
Oconee,342,1322
Oglethorpe,148,536
Paulding,2913,12408
Peach,760,3035
Pickens,593,2450
Pierce,603,2403
Pike,428,1711
Polk,1284,5403
Pulaski,232,1019
Putnam,663,2931
Quitman,59,213
Rabun,403,1562
Randolph,206,747
Richmond,6133,24660
Rockdale,2411,9962
Schley,126,458
Screven,340,1511
Seminole,260,1001
Spalding,2073,8357
Stephens,622,2613
Stewart,194,702
Sumter,1359,5471
Talbot,245,995
Taliaferro,65,270
Tattnall,868,3189
Taylor,320,1264
Telfair,719,2875
Terrell,406,1469
Thomas,1515,5989
Tift,1201,4671
Toombs,1179,4559
Towns,95,445
Treutlen,130,471
Troup,2497,9780
Turner,222,802
Twiggs,204,852
Union,488,1765
Upson,850,3237
Walker,1841,8644
Walton,2191,8955
Ware,1128,4615
Warren,160,579
Washington,539,2272
Wayne,895,3686
Webster,124,448
Wheeler,276,1022
White,731,2832
Whitfield,4471,18478
Wilcox,279,1103
Wilkes,262,1018
Wilkinson,177,640
Worth,647,2506
