,1.00-1.38,1.00-4.00
Appling,626,6190
Atkinson,448,3575
Bacon,496,5118
Baker,178,1677
Baldwin,1486,12621
Banks,1126,7806
Barrow,2083,27418
Bartow,3639,37815
Ben Hill,1064,6101
Berrien,1232,7986
Bibb,6334,48799
Bleckley,286,3815
Brantley,295,5728
Brooks,755,6204
Bryan,887,9186
Bulloch,2625,20320
Burke,687,6761
Butts,883,8074
Calhoun,172,2049
Camden,962,17578
Candler,754,4379
Carroll,4474,38479
Catoosa,2473,23423
Charlton,194,4888
Chatham,10762,94069
Chattahoochee,188,3852
Chattooga,1330,9612
Cherokee,5296,66441
Clarke,4987,32825
Clay,219,1702
Clayton,11839,105584
Clinch,317,2860
Cobb,20036,196477
Coffee,1408,14808
Colquitt,1855,15369
Columbia,3024,39118
Cook,684,6719
Coweta,3805,41585
Crawford,518,5161
Crisp,811,7717
Dade,743,5811
Dawson,630,8262
Decatur,1135,8505
DeKalb,26593,229032
Dodge,1028,6667
Dooly,544,4759
Dougherty,4711,30396
Douglas,4393,46508
Early,316,4505
Echols,142,1371
Effingham,1533,17795
Elbert,816,7432
Emanuel,1181,7567
Evans,455,4001
Fannin,1027,8327
Fayette,1524,23661
Floyd,4001,32495
Forsyth,3189,40340
Franklin,926,6825
Fulton,29440,251882
Gilmer,1206,10446
Glascock,406,1589
Glynn,2815,24078
Gordon,2662,19906
Grady,897,7942
Greene,749,5996
Gwinnett,26904,254241
Habersham,1264,13060
Hall,6910,60844
Hancock,999,3895
Haralson,1181,9795
Harris,431,7847
Hart,690,8334
Heard,443,5061
Henry,5648,68568
Houston,4075,44911
Irwin,672,3964
Jackson,1330,19703
Jasper,525,5599
Jeff Davis,575,5427
Jefferson,763,5348
Jenkins,302,2909
Johnson,222,3400
Jones,545,9494
Lamar,839,7293
Lanier,546,3217
Laurens,2526,15130
Lee,835,9442
Liberty,2333,24282
Lincoln,495,2940
Long,674,6617
Lowndes,5339,39069
Lumpkin,1564,11606
McDuffie,864,7938
McIntosh,713,6279
Macon,674,4897
Madison,847,9749
Marion,467,3272
Meriwether,1134,8686
Miller,499,1743
Mitchell,1020,6980
Monroe,1272,8781
Montgomery,273,3467
Morgan,816,5663
Murray,1657,15641
Muscogee,7320,63539
Newton,3445,35476
Oconee,341,7027
Oglethorpe,117,4885
Paulding,3257,49841
Peach,717,7181
Pickens,1430,9768
Pierce,889,7773
Pike,523,6480
Polk,1683,14426
Pulaski,661,5021
Putnam,1260,8004
Quitman,313,2050
Rabun,767,6227
Randolph,463,2898
Richmond,7469,70628
Rockdale,2979,30563
Schley,179,2267
Screven,672,5708
Seminole,468,2926
Spalding,2632,23606
Stephens,1227,8518
Stewart,374,2703
Sumter,1149,9320
Talbot,440,2470
Taliaferro,517,1075
Tattnall,887,6644
Taylor,371,2880
Telfair,376,4234
Terrell,455,3568
Thomas,1451,13474
Tift,1343,12911
Toombs,990,8862
Towns,691,3893
Treutlen,394,2716
Troup,2403,22574
Turner,331,3004
Twiggs,451,2607
Union,704,5647
Upson,1225,10863
Walker,3332,26606
Walton,2335,27359
Ware,1407,11743
Warren,442,3254
Washington,731,6051
Wayne,1356,9809
Webster,318,1540
Wheeler,198,2215
White,1169,9458
Whitfield,4639,39904
Wilcox,359,2757
Wilkes,452,3895
Wilkinson,409,3849
Worth,876,7621
