,1.00-1.38,1.00-4.00
Appling,561,6360
Atkinson,513,3960
Bacon,478,5635
Baker,213,1978
Baldwin,1509,13098
Banks,1185,8437
Barrow,2129,28841
Bartow,3903,40156
Ben Hill,1112,6157
Berrien,1333,8340
Bibb,6731,51411
Bleckley,224,4039
Brantley,248,5527
Brooks,787,6393
Bryan,987,9791
Bulloch,2742,21071
Burke,603,6673
Butts,923,8319
Calhoun,139,2208
Camden,934,18346
Candler,893,4819
Carroll,4775,40325
Catoosa,2639,24480
Charlton,194,5060
Chatham,11559,99741
Chattahoochee,204,4116
Chattooga,1329,9757
Cherokee,5595,70215
Clarke,5281,34029
Clay,229,2000
Clayton,12580,110892
Clinch,350,2998
Cobb,21434,206864
Coffee,1477,15804
Colquitt,1891,15869
Columbia,3272,41928
Cook,698,7096
Coweta,4120,44298
Crawford,562,5369
Crisp,839,8167
Dade,812,6111
Dawson,611,8854
Decatur,1169,8697
DeKalb,28019,239069
Dodge,1147,6924
Dooly,570,5191
Dougherty,4952,31569
Douglas,4734,49158
Early,276,4900
Echols,188,1588
Effingham,1663,18659
Elbert,836,7628
Emanuel,1189,7655
Evans,567,4264
Fannin,1114,8684
Fayette,1588,24960
Floyd,4315,34042
Forsyth,3366,42649
Franklin,942,6760
Fulton,30922,262911
Gilmer,1245,10961
Glascock,522,1822
Glynn,3015,25153
Gordon,2865,20709
Grady,857,8158
Greene,784,6302
Gwinnett,28867,267706
Habersham,1257,13487
Hall,7365,63871
Hancock,1087,4192
Haralson,1302,10305
Harris,385,7967
Hart,707,8784
Heard,477,5550
Henry,6055,72800
Houston,4337,47513
Irwin,740,4291
Jackson,1324,20419
Jasper,472,5922
Jeff Davis,571,5527
Jefferson,743,5308
Jenkins,274,3029
Johnson,182,3537
Jones,515,9967
Lamar,907,7823
Lanier,591,3246
Laurens,2663,15804
Lee,873,9990
Liberty,2414,25348
Lincoln,542,3144
Long,695,7148
Lowndes,5759,41233
Lumpkin,1655,12266
McDuffie,974,8246
McIntosh,698,6743
Macon,704,5002
Madison,840,10204
Marion,469,3465
Meriwether,1240,9111
Miller,569,1645
Mitchell,1084,7292
Monroe,1365,9228
Montgomery,261,3729
Morgan,868,5809
Murray,1742,16098
Muscogee,7838,67167
Newton,3659,37199
Oconee,261,7096
Oglethorpe,97,5086
Paulding,3471,52841
Peach,719,7452
Pickens,1497,10028
Pierce,1015,8331
Pike,507,6785
Polk,1740,14853
Pulaski,765,5277
Putnam,1260,8290
Quitman,350,2400
Rabun,789,6590
Randolph,401,2958
Richmond,7894,74632
Rockdale,3160,32633
Schley,190,2435
Screven,742,6166
Seminole,436,3034
Spalding,2745,24665
Stephens,1255,8790
Stewart,319,2893
Sumter,1147,9525
Talbot,439,2534
Taliaferro,632,1195
Tattnall,883,6680
Taylor,345,2845
Telfair,292,4222
Terrell,515,3791
Thomas,1522,14114
Tift,1356,13357
Toombs,1083,9393
Towns,811,4076
Treutlen,418,2943
Troup,2544,23677
Turner,260,3121
Twiggs,481,2494
Union,791,5810
Upson,1308,11507
Walker,3581,27987
Walton,2452,28461
Ware,1528,12437
Warren,529,3783
Washington,746,6118
Wayne,1380,10155
Webster,389,1740
Wheeler,224,2476
White,1304,10094
Whitfield,4986,42408
Wilcox,368,2915
Wilkes,451,4109
Wilkinson,401,4020
Worth,953,8098
