,<0.36,<1.38
Appling,568,2250
Atkinson,523,2064
Bacon,260,939
Baker,19,177
Baldwin,1433,5603
Banks,540,2296
Barrow,1631,6892
Bartow,2371,10983
Ben Hill,809,2923
Berrien,410,1483
Bibb,5056,19865
Bleckley,96,349
Brantley,510,2513
Brooks,218,789
Bryan,563,2286
Bulloch,2107,8220
Burke,1076,3888
Butts,378,1568
Calhoun,69,250
Camden,1485,5731
Candler,321,1344
Carroll,3363,14340
Catoosa,1609,6409
Charlton,157,569
Chatham,6453,26616
Chattahoochee,208,1265
Chattooga,744,3462
Cherokee,3738,15210
Clarke,3356,12749
Clay,375,1354
Clayton,10373,41755
Clinch,197,711
Cobb,15804,65611
Coffee,1399,5226
Colquitt,1622,6701
Columbia,1780,8598
Cook,686,2826
Coweta,2931,11818
Crawford,418,1537
Crisp,949,3428
Dade,397,1494
Dawson,642,3068
Decatur,1149,4578
DeKalb,18549,74422
Dodge,831,3336
Dooly,232,1131
Dougherty,4581,18436
Douglas,4122,16757
Early,445,1650
Echols,287,1545
Effingham,1106,4756
Elbert,490,1968
Emanuel,894,3458
Evans,365,1637
Fannin,514,2033
Fayette,1784,7080
Floyd,2905,11820
Forsyth,2204,9114
Franklin,677,2705
Fulton,21144,84351
Gilmer,968,3498
Glascock,0,0
Glynn,2785,10277
Gordon,1885,7675
Grady,1006,4125
Greene,252,911
Gwinnett,24260,108010
Habersham,853,3334
Hall,6239,25937
Hancock,2,10
Haralson,1257,5105
Harris,308,1112
Hart,589,2128
Heard,353,1276
Henry,5646,22598
Houston,4102,16030
Irwin,198,717
Jackson,1302,5305
Jasper,483,1825
Jeff Davis,750,2710
Jefferson,967,3585
Jenkins,735,2906
Johnson,106,384
Jones,624,2558
Lamar,450,1651
Lanier,401,1450
Laurens,1732,6908
Lee,490,1771
Liberty,2646,11520
Lincoln,234,1094
Long,775,3783
Lowndes,3969,16602
Lumpkin,748,2704
McDuffie,836,3369
McIntosh,448,1689
Macon,449,1993
Madison,526,2514
Marion,443,1743
Meriwether,491,2344
Miller,275,994
Mitchell,868,3134
Monroe,651,2608
Montgomery,490,1771
Morgan,488,1796
Murray,1373,6487
Muscogee,5937,25008
Newton,3072,13547
Oconee,309,1172
Oglethorpe,56,203
Paulding,3211,14033
Peach,722,2814
Pickens,659,2504
Pierce,678,2788
Pike,481,1886
Polk,1234,5149
Pulaski,240,1125
Putnam,812,3584
Quitman,45,165
Rabun,422,1723
Randolph,166,601
Richmond,5993,24052
Rockdale,2697,11130
Schley,114,413
Screven,384,1742
Seminole,212,766
Spalding,2140,8698
Stephens,559,2465
Stewart,244,884
Sumter,1406,5724
Talbot,324,1275
Taliaferro,95,464
Tattnall,1052,3800
Taylor,284,1137
Telfair,843,3276
Terrell,412,1490
Thomas,1497,6014
Tift,1121,4253
Toombs,1221,4693
Towns,54,249
Treutlen,30,109
Troup,2703,10504
Turner,127,460
Twiggs,194,922
Union,573,2071
Upson,883,3342
Walker,1962,9371
Walton,2313,9379
Ware,1238,5157
Warren,155,562
Washington,479,2169
Wayne,903,3807
Webster,193,698
Wheeler,367,1328
White,582,2194
Whitfield,4892,20389
Wilcox,319,1320
Wilkes,283,1132
Wilkinson,120,436
Worth,654,2367
