,1.00-1.38,1.00-4.00
Appling,527,6397
Atkinson,538,4100
Bacon,475,5805
Baker,224,2080
Baldwin,1511,13229
Banks,1204,8656
Barrow,2135,29290
Bartow,3995,40947
Ben Hill,1123,6140
Berrien,1360,8423
Bibb,6864,52245
Bleckley,193,4091
Brantley,234,5476
Brooks,799,6474
Bryan,1024,9993
Bulloch,2774,21281
Burke,567,6604
Butts,930,8369
Calhoun,138,2287
Camden,921,18591
Candler,943,4962
Carroll,4874,40862
Catoosa,2694,24813
Charlton,196,5107
Chatham,11829,101615
Chattahoochee,210,4202
Chattooga,1323,9776
Cherokee,5694,71428
Clarke,5381,34394
Clay,230,2124
Clayton,12827,112573
Clinch,363,3052
Cobb,21904,210175
Coffee,1502,16139
Colquitt,1895,15997
Columbia,3354,42877
Cook,704,7218
Coweta,4227,45205
Crawford,579,5421
Crisp,846,8317
Dade,837,6211
Dawson,605,9048
Decatur,1178,8747
DeKalb,28471,242081
Dodge,1190,6999
Dooly,578,5346
Dougherty,5030,31921
Douglas,4847,50005
Early,255,5036
Echols,211,1683
Effingham,1711,18923
Elbert,840,7677
Emanuel,1187,7665
Evans,607,4359
Fannin,1138,8768
Fayette,1608,25382
Floyd,4422,34520
Forsyth,3426,43410
Franklin,945,6725
Fulton,31392,266217
Gilmer,1259,11126
Glascock,565,1899
Glynn,3082,25488
Gordon,2935,20942
Grady,836,8207
Greene,792,6379
Gwinnett,29542,271998
Habersham,1251,13608
Hall,7516,64823
Hancock,1115,4287
Haralson,1344,10471
Harris,368,7988
Hart,711,8917
Heard,493,5720
Henry,6195,74204
Houston,4419,48349
Irwin,757,4393
Jackson,1316,20618
Jasper,451,6026
Jeff Davis,570,5555
Jefferson,736,5303
Jenkins,259,3062
Johnson,171,3597
Jones,504,10107
Lamar,927,7997
Lanier,605,3248
Laurens,2708,15997
Lee,881,10158
Liberty,2434,25667
Lincoln,559,3210
Long,698,7321
Lowndes,5907,41942
Lumpkin,1681,12463
McDuffie,1014,8322
McIntosh,691,6910
Macon,714,5055
Madison,837,10339
Marion,467,3528
Meriwether,1276,9231
Miller,593,1616
Mitchell,1100,7380
Monroe,1388,9366
Montgomery,251,3822
Morgan,890,5849
Murray,1769,16202
Muscogee,8009,68329
Newton,3729,37735
Oconee,254,7126
Oglethorpe,88,5148
Paulding,3545,53840
Peach,716,7526
Pickens,1520,10091
Pierce,1063,8514
Pike,502,6905
Polk,1752,14937
Pulaski,799,5343
Putnam,1256,8363
Quitman,365,2547
Rabun,797,6691
Randolph,375,2984
Richmond,8026,75920
Rockdale,3221,33325
Schley,193,2495
Screven,760,6308
Seminole,422,3052
Spalding,2775,24984
Stephens,1259,8854
Stewart,294,2966
Sumter,1141,9559
Talbot,436,2542
Taliaferro,671,1220
Tattnall,873,6660
Taylor,342,2835
Telfair,254,4222
Terrell,533,3857
Thomas,1544,14310
Tift,1358,13496
Toombs,1115,9571
Towns,856,4138
Treutlen,427,3025
Troup,2581,24000
Turner,232,3147
Twiggs,492,2467
Union,815,5828
Upson,1332,11712
Walker,3670,28439
Walton,2486,28783
Ware,1575,12668
Warren,562,3981
Washington,746,6110
Wayne,1379,10251
Webster,413,1798
Wheeler,229,2559
White,1358,10307
Whitfield,5106,43226
Wilcox,372,2974
Wilkes,455,4184
Wilkinson,393,4058
Worth,983,8268
