,1.00-1.38,1.00-4.00
Appling,549,6373
Atkinson,521,4009
Bacon,477,5699
Baker,217,2015
Baldwin,1510,13146
Banks,1192,8516
Barrow,2131,29009
Bartow,3937,40447
Ben Hill,1117,6153
Berrien,1343,8372
Bibb,6781,51725
Bleckley,213,4058
Brantley,242,5508
Brooks,791,6422
Bryan,1001,9866
Bulloch,2754,21151
Burke,590,6649
Butts,926,8339
Calhoun,139,2232
Camden,929,18438
Candler,911,4871
Carroll,4812,40532
Catoosa,2658,24604
Charlton,194,5078
Chatham,11660,100442
Chattahoochee,206,4148
Chattooga,1327,9766
Cherokee,5632,70670
Clarke,5317,34165
Clay,230,2044
Clayton,12673,111526
Clinch,355,3016
Cobb,21609,208112
Coffee,1486,15929
Colquitt,1893,15919
Columbia,3302,42281
Cook,701,7141
Coweta,4160,44636
Crawford,568,5388
Crisp,841,8221
Dade,822,6149
Dawson,609,8927
Decatur,1172,8716
DeKalb,28191,240222
Dodge,1163,6951
Dooly,573,5247
Dougherty,4981,31700
Douglas,4777,49477
Early,268,4951
Echols,197,1623
Effingham,1680,18760
Elbert,838,7649
Emanuel,1188,7660
Evans,582,4298
Fannin,1123,8716
Fayette,1595,25117
Floyd,4355,34222
Forsyth,3388,42934
Franklin,944,6744
Fulton,31099,264173
Gilmer,1250,11022
Glascock,538,1851
Glynn,3040,25279
Gordon,2892,20800
Grady,849,8177
Greene,787,6331
Gwinnett,29118,269327
Habersham,1255,13534
Hall,7421,64229
Hancock,1098,4227
Haralson,1318,10366
Harris,378,7972
Hart,708,8836
Heard,482,5613
Henry,6107,73323
Houston,4368,47828
Irwin,747,4329
Jackson,1321,20494
Jasper,464,5961
Jeff Davis,570,5536
Jefferson,740,5305
Jenkins,269,3041
Johnson,178,3560
Jones,510,10018
Lamar,915,7890
Lanier,596,3247
Laurens,2681,15877
Lee,877,10053
Liberty,2422,25468
Lincoln,548,3169
Long,697,7214
Lowndes,5813,41497
Lumpkin,1665,12341
McDuffie,988,8277
McIntosh,695,6803
Macon,708,5023
Madison,839,10255
Marion,468,3488
Meriwether,1253,9156
Miller,578,1633
Mitchell,1090,7327
Monroe,1374,9279
Montgomery,258,3762
Morgan,876,5824
Murray,1752,16137
Muscogee,7902,67603
Newton,3684,37402
Oconee,251,7098
Oglethorpe,93,5111
Paulding,3499,53214
Peach,718,7481
Pickens,1505,10052
Pierce,1033,8399
Pike,504,6828
Polk,1745,14888
Pulaski,778,5302
Putnam,1259,8318
Quitman,356,2454
Rabun,792,6630
Randolph,391,2968
Richmond,7944,75118
Rockdale,3182,32889
Schley,191,2457
Screven,749,6219
Seminole,430,3041
Spalding,2756,24786
Stephens,1256,8815
Stewart,310,2919
Sumter,1145,9539
Talbot,438,2536
Taliaferro,647,1205
Tattnall,880,6673
Taylor,344,2842
Telfair,278,4221
Terrell,522,3815
Thomas,1530,14186
Tift,1357,13410
Toombs,1095,9458
Towns,828,4098
Treutlen,421,2972
Troup,2559,23801
Turner,250,3132
Twiggs,485,2475
Union,800,5818
Upson,1317,11582
Walker,3613,28155
Walton,2464,28584
Ware,1544,12522
Warren,541,3855
Washington,746,6117
Wayne,1380,10192
Webster,397,1761
Wheeler,226,2505
White,1323,10174
Whitfield,5031,42715
Wilcox,370,2935
Wilkes,452,4135
Wilkinson,398,4034
Worth,964,8161
