,1.00-1.38,1.00-4.00
Appling,518,6407
Atkinson,545,4141
Bacon,474,5850
Baker,227,2108
Baldwin,1512,13263
Banks,1209,8716
Barrow,2136,29407
Bartow,4020,41158
Ben Hill,1126,6132
Berrien,1366,8443
Bibb,6898,52461
Bleckley,184,4106
Brantley,230,5461
Brooks,803,6497
Bryan,1034,10047
Bulloch,2783,21333
Burke,557,6583
Butts,932,8379
Calhoun,137,2312
Camden,917,18655
Candler,957,5002
Carroll,4900,40996
Catoosa,2709,24900
Charlton,197,5119
Chatham,11901,102104
Chattahoochee,212,4225
Chattooga,1321,9778
Cherokee,5720,71743
Clarke,5408,34488
Clay,230,2159
Clayton,12892,113004
Clinch,367,3067
Cobb,22029,211029
Coffee,1508,16227
Colquitt,1895,16028
Columbia,3376,43129
Cook,705,7250
Coweta,4255,45443
Crawford,584,5435
Crisp,849,8359
Dade,844,6237
Dawson,604,9099
Decatur,1180,8759
DeKalb,28586,242832
Dodge,1202,7022
Dooly,580,5389
Dougherty,5050,32012
Douglas,4877,50225
Early,248,5072
Echols,218,1709
Effingham,1725,18990
Elbert,841,7688
Emanuel,1187,7666
Evans,618,4384
Fannin,1145,8788
Fayette,1613,25493
Floyd,4450,34643
Forsyth,3443,43609
Franklin,946,6717
Fulton,31512,267045
Gilmer,1264,11170
Glascock,577,1920
Glynn,3101,25575
Gordon,2953,20999
Grady,830,8219
Greene,794,6398
Gwinnett,29721,273101
Habersham,1249,13638
Hall,7556,65069
Hancock,1122,4314
Haralson,1355,10516
Harris,363,7996
Hart,711,8949
Heard,498,5767
Henry,6232,74574
Houston,4440,48565
Irwin,761,4420
Jackson,1313,20669
Jasper,445,6054
Jeff Davis,570,5564
Jefferson,734,5302
Jenkins,255,3070
Johnson,168,3612
Jones,502,10143
Lamar,932,8041
Lanier,608,3248
Laurens,2720,16046
Lee,882,10201
Liberty,2439,25749
Lincoln,564,3227
Long,699,7366
Lowndes,5947,42128
Lumpkin,1687,12512
McDuffie,1024,8340
McIntosh,690,6957
Macon,716,5069
Madison,837,10373
Marion,467,3546
Meriwether,1286,9262
Miller,599,1609
Mitchell,1103,7400
Monroe,1393,9403
Montgomery,247,3848
Morgan,896,5860
Murray,1776,16227
Muscogee,8054,68632
Newton,3748,37872
Oconee,255,7137
Oglethorpe,86,5163
Paulding,3564,54102
Peach,714,7545
Pickens,1527,10106
Pierce,1076,8562
Pike,502,6939
Polk,1755,14955
Pulaski,807,5361
Putnam,1256,8382
Quitman,369,2588
Rabun,800,6716
Randolph,368,2991
Richmond,8060,76253
Rockdale,3238,33510
Schley,194,2512
Screven,764,6346
Seminole,418,3056
Spalding,2783,25065
Stephens,1260,8869
Stewart,287,2987
Sumter,1139,9566
Talbot,435,2544
Taliaferro,682,1226
Tattnall,871,6653
Taylor,342,2831
Telfair,243,4223
Terrell,537,3876
Thomas,1550,14361
Tift,1358,13531
Toombs,1123,9619
Towns,867,4155
Treutlen,430,3049
Troup,2589,24082
Turner,224,3152
Twiggs,495,2467
Union,821,5832
Upson,1338,11767
Walker,3694,28557
Walton,2496,28863
Ware,1589,12730
Warren,572,4035
Washington,745,6105
Wayne,1378,10274
Webster,420,1815
Wheeler,231,2582
White,1373,10364
Whitfield,5138,43440
Wilcox,373,2992
Wilkes,457,4205
Wilkinson,391,4068
Worth,991,8314
