,1.00-1.38,1.00-4.00
Appling,601,6277
Atkinson,478,3747
Bacon,487,5358
Baker,194,1813
Baldwin,1500,12865
Banks,1154,8102
Barrow,2111,28118
Bartow,3765,38945
Ben Hill,1088,6139
Berrien,1281,8164
Bibb,6525,50079
Bleckley,259,3921
Brantley,272,5634
Brooks,769,6296
Bryan,933,9473
Bulloch,2684,20699
Burke,652,6738
Butts,904,8205
Calhoun,148,2103
Camden,951,17955
Candler,816,4583
Carroll,4619,39407
Catoosa,2551,23944
Charlton,194,4973
Chatham,11143,96823
Chattahoochee,195,3973
Chattooga,1333,9698
Cherokee,5440,68295
Clarke,5127,33433
Clay,223,1829
Clayton,12199,108222
Clinch,330,2916
Cobb,20708,201617
Coffee,1442,15287
Colquitt,1874,15629
Columbia,3142,40472
Cook,689,6895
Coweta,3956,42901
Crawford,536,5257
Crisp,826,7937
Dade,773,5951
Dawson,620,8541
Decatur,1152,8608
DeKalb,27299,234130
Dodge,1081,6788
Dooly,554,4955
Dougherty,4828,30989
Douglas,4556,47807
Early,300,4690
Echols,157,1451
Effingham,1593,18226
Elbert,826,7528
Emanuel,1186,7619
Evans,506,4125
Fannin,1069,8505
Fayette,1555,24293
Floyd,4151,33265
Forsyth,3274,41464
Franklin,935,6804
Fulton,30177,257480
Gilmer,1226,10701
Glascock,458,1692
Glynn,2910,24606
Gordon,2759,20307
Grady,881,8059
Greene,766,6151
Gwinnett,27844,260905
Habersham,1262,13272
Hall,7128,62345
Hancock,1037,4023
Haralson,1237,10043
Harris,410,7912
Hart,698,8555
Heard,459,5287
Henry,5840,70618
Houston,4204,46183
Irwin,705,4111
Jackson,1329,20064
Jasper,501,5750
Jeff Davis,574,5474
Jefferson,753,5313
Jenkins,289,2966
Johnson,194,3436
Jones,533,9733
Lamar,873,7539
Lanier,566,3236
Laurens,2591,15472
Lee,855,9715
Liberty,2375,24814
Lincoln,516,3031
Long,683,6859
Lowndes,5539,40124
Lumpkin,1608,11933
McDuffie,915,8093
McIntosh,704,6488
Macon,687,4940
Madison,845,9978
Marion,466,3359
Meriwether,1187,8905
Miller,531,1678
Mitchell,1052,7128
Monroe,1317,8998
Montgomery,269,3590
Morgan,840,5736
Murray,1698,15886
Muscogee,7572,65314
Newton,3549,36328
Oconee,306,7076
Oglethorpe,107,4977
Paulding,3362,51303
Peach,719,7319
Pickens,1465,9905
Pierce,947,8036
Pike,515,6613
Polk,1712,14657
Pulaski,709,5144
Putnam,1263,8149
Quitman,329,2196
Rabun,777,6404
Randolph,435,2922
Richmond,7677,72582
Rockdale,3066,31558
Schley,184,2342
Screven,706,5925
Seminole,452,2976
Spalding,2689,24137
Stephens,1245,8663
Stewart,348,2783
Sumter,1151,9439
Talbot,438,2501
Taliaferro,570,1131
Tattnall,887,6668
Taylor,352,2855
Telfair,339,4227
Terrell,484,3667
Thomas,1485,13794
Tift,1351,13130
Toombs,1036,9121
Towns,745,3980
Treutlen,404,2822
Troup,2474,23127
Turner,293,3048
Twiggs,463,2551
Union,745,5732
Upson,1266,11180
Walker,3451,27284
Walton,2391,27918
Ware,1462,12076
Warren,479,3486
Washington,739,6098
Wayne,1371,9986
Webster,350,1633
Wheeler,210,2339
White,1231,9762
Whitfield,4805,41121
Wilcox,362,2826
Wilkes,450,3996
Wilkinson,406,3936
Worth,909,7843
