,1.00-1.38,1.00-4.00
Appling,588,6313
Atkinson,491,3826
Bacon,482,5462
Baker,201,1876
Baldwin,1504,12957
Banks,1167,8231
Barrow,2120,28398
Bartow,3818,39408
Ben Hill,1097,6148
Berrien,1302,8237
Bibb,6604,50591
Bleckley,247,3967
Brantley,262,5587
Brooks,775,6330
Bryan,954,9593
Bulloch,2707,20844
Burke,634,6716
Butts,911,8252
Calhoun,141,2136
Camden,945,18104
Candler,844,4671
Carroll,4678,39768
Catoosa,2585,24149
Charlton,193,5006
Chatham,11301,97937
Chattahoochee,198,4027
Chattooga,1333,9724
Cherokee,5499,69033
Clarke,5185,33663
Clay,225,1892
Clayton,12345,109252
Clinch,338,2944
Cobb,20985,203642
Coffee,1455,15483
Colquitt,1881,15726
Columbia,3192,41028
Cook,692,6971
Coweta,4019,43434
Crawford,546,5300
Crisp,831,8024
Dade,786,6008
Dawson,616,8660
Decatur,1159,8643
DeKalb,27577,236059
Dodge,1105,6838
Dooly,560,5044
Dougherty,4875,31214
Douglas,4624,48327
Early,291,4768
Echols,168,1502
Effingham,1619,18394
Elbert,830,7567
Emanuel,1187,7633
Evans,529,4178
Fannin,1088,8579
Fayette,1569,24549
Floyd,4214,33567
Forsyth,3310,41918
Franklin,938,6790
Fulton,30465,259604
Gilmer,1233,10802
Glascock,482,1740
Glynn,2950,24814
Gordon,2799,20462
Grady,872,8100
Greene,773,6212
Gwinnett,28232,263528
Habersham,1261,13355
Hall,7218,62934
Hancock,1056,4085
Haralson,1261,10143
Harris,401,7938
Hart,702,8645
Heard,465,5386
Henry,5922,71451
Houston,4255,46693
Irwin,720,4180
Jackson,1328,20203
Jasper,490,5814
Jeff Davis,573,5495
Jefferson,749,5299
Jenkins,284,2991
Johnson,190,3475
Jones,526,9823
Lamar,887,7647
Lanier,575,3241
Laurens,2619,15603
Lee,862,9822
Liberty,2391,25020
Lincoln,525,3073
Long,688,6965
Lowndes,5623,40549
Lumpkin,1627,12063
McDuffie,937,8155
McIntosh,702,6583
Macon,693,4958
Madison,843,10066
Marion,467,3397
Meriwether,1207,8987
Miller,547,1666
Mitchell,1065,7193
Monroe,1336,9086
Montgomery,266,3643
Morgan,850,5764
Murray,1715,15972
Muscogee,7674,66026
Newton,3591,36664
Oconee,289,7088
Oglethorpe,103,5016
Paulding,3404,51892
Peach,719,7370
Pickens,1478,9954
Pierce,972,8148
Pike,511,6667
Polk,1723,14739
Pulaski,730,5196
Putnam,1262,8203
Quitman,337,2268
Rabun,781,6476
Randolph,422,2932
Richmond,7760,73366
Rockdale,3102,31968
Schley,187,2376
Screven,720,6018
Seminole,447,2998
Spalding,2711,24342
Stephens,1250,8716
Stewart,338,2821
Sumter,1150,9477
Talbot,438,2514
Taliaferro,593,1157
Tattnall,886,6675
Taylor,345,2841
Telfair,323,4221
Terrell,497,3715
Thomas,1500,13919
Tift,1352,13216
Toombs,1054,9225
Towns,770,4017
Treutlen,410,2869
Troup,2502,23342
Turner,281,3077
Twiggs,470,2529
Union,763,5765
Upson,1283,11306
Walker,3500,27552
Walton,2414,28130
Ware,1486,12214
Warren,497,3592
Washington,741,6109
Wayne,1376,10051
Webster,365,1675
Wheeler,216,2393
White,1258,9888
Whitfield,4873,41612
Wilcox,364,2859
Wilkes,449,4037
Wilkinson,405,3969
Worth,925,7936
