,<0.36,<1.38
Appling,573,2244
Atkinson,499,1963
Bacon,252,911
Baker,45,257
Baldwin,1380,5408
Banks,527,2229
Barrow,1625,6827
Bartow,2344,10789
Ben Hill,809,2924
Berrien,461,1667
Bibb,5009,19677
Bleckley,130,470
Brantley,527,2528
Brooks,247,893
Bryan,578,2325
Bulloch,2025,7902
Burke,1048,3786
Butts,386,1611
Calhoun,78,284
Camden,1459,5636
Candler,328,1387
Carroll,3310,14061
Catoosa,1568,6278
Charlton,161,583
Chatham,6322,26200
Chattahoochee,215,1264
Chattooga,730,3333
Cherokee,3631,14865
Clarke,3253,12461
Clay,338,1223
Clayton,10052,40620
Clinch,197,712
Cobb,15232,63358
Coffee,1398,5313
Colquitt,1647,6775
Columbia,1758,8420
Cook,673,2769
Coweta,2851,11577
Crawford,417,1595
Crisp,950,3433
Dade,400,1534
Dawson,609,2863
Decatur,1118,4435
DeKalb,18121,72957
Dodge,784,3157
Dooly,264,1239
Dougherty,4468,17951
Douglas,3981,16244
Early,441,1619
Echols,271,1424
Effingham,1077,4664
Elbert,506,2033
Emanuel,896,3486
Evans,365,1607
Fannin,501,2005
Fayette,1677,6736
Floyd,2847,11647
Forsyth,2146,8860
Franklin,664,2667
Fulton,20650,82454
Gilmer,932,3365
Glascock,16,57
Glynn,2665,9929
Gordon,1838,7544
Grady,992,4034
Greene,290,1050
Gwinnett,23533,104449
Habersham,865,3449
Hall,6119,25399
Hancock,54,198
Haralson,1194,4792
Harris,312,1128
Hart,594,2147
Heard,375,1355
Henry,5397,21718
Houston,3956,15522
Irwin,193,696
Jackson,1314,5375
Jasper,473,1732
Jeff Davis,717,2591
Jefferson,922,3437
Jenkins,682,2687
Johnson,122,455
Jones,609,2485
Lamar,447,1638
Lanier,398,1439
Laurens,1715,6888
Lee,492,1778
Liberty,2635,11380
Lincoln,251,1105
Long,729,3498
Lowndes,3879,16231
Lumpkin,714,2609
McDuffie,803,3222
McIntosh,427,1619
Macon,443,1972
Madison,552,2565
Marion,421,1676
Meriwether,500,2375
Miller,266,963
Mitchell,873,3153
Monroe,634,2581
Montgomery,449,1621
Morgan,485,1822
Murray,1359,6335
Muscogee,5865,24576
Newton,2999,13229
Oconee,320,1218
Oglethorpe,86,312
Paulding,3115,13497
Peach,734,2905
Pickens,636,2477
Pierce,651,2648
Pike,461,1828
Polk,1251,5224
Pulaski,233,1073
Putnam,759,3347
Quitman,45,164
Rabun,416,1665
Randolph,180,652
Richmond,6043,24276
Rockdale,2599,10737
Schley,118,428
Screven,369,1662
Seminole,228,825
Spalding,2118,8593
Stephens,583,2522
Stewart,225,815
Sumter,1394,5647
Talbot,294,1166
Taliaferro,85,397
Tattnall,990,3581
Taylor,296,1173
Telfair,803,3152
Terrell,412,1488
Thomas,1505,6010
Tift,1149,4404
Toombs,1207,4650
Towns,67,312
Treutlen,65,235
Troup,2631,10248
Turner,160,579
Twiggs,196,888
Union,542,1960
Upson,871,3301
Walker,1921,9124
Walton,2272,9234
Ware,1201,4966
Warren,155,560
Washington,499,2202
Wayne,898,3753
Webster,169,612
Wheeler,335,1211
White,632,2404
Whitfield,4751,19750
Wilcox,305,1246
Wilkes,275,1090
Wilkinson,137,498
Worth,654,2426
