,1.00-1.38,1.00-4.00
Appling,638,6149
Atkinson,432,3485
Bacon,504,4987
Baker,170,1606
Baldwin,1474,12458
Banks,1109,7635
Barrow,2063,26978
Bartow,3563,37119
Ben Hill,1049,6073
Berrien,1204,7879
Bibb,6217,47992
Bleckley,298,3749
Brantley,309,5775
Brooks,746,6144
Bryan,861,9018
Bulloch,2587,20071
Burke,703,6753
Butts,868,7979
Calhoun,184,2018
Camden,966,17337
Candler,720,4260
Carroll,4386,37877
Catoosa,2426,23090
Charlton,195,4832
Chatham,10532,92356
Chattahoochee,185,3785
Chattooga,1326,9548
Cherokee,5208,65270
Clarke,4902,32425
Clay,216,1644
Clayton,11618,103897
Clinch,311,2828
Cobb,19627,193207
Coffee,1387,14518
Colquitt,1841,15193
Columbia,2953,38287
Cook,681,6617
Coweta,3715,40764
Crawford,509,5105
Crisp,799,7576
Dade,725,5729
Dawson,636,8101
Decatur,1124,8430
DeKalb,26144,225671
Dodge,1000,6592
Dooly,539,4654
Dougherty,4638,30003
Douglas,4295,45700
Early,321,4392
Echols,136,1329
Effingham,1499,17516
Elbert,807,7370
Emanuel,1175,7520
Evans,426,3928
Fannin,1000,8218
Fayette,1505,23265
Floyd,3910,31998
Forsyth,3136,39641
Franklin,918,6825
Fulton,28966,248194
Gilmer,1192,10279
Glascock,375,1540
Glynn,2758,23741
Gordon,2603,19642
Grady,906,7856
Greene,739,5895
Gwinnett,26333,249999
Habersham,1265,12922
Hall,6780,59889
Hancock,980,3833
Haralson,1150,9641
Harris,444,7804
Hart,686,8195
Heard,433,4932
Henry,5533,67298
Houston,3994,44113
Irwin,652,3884
Jackson,1328,19469
Jasper,537,5511
Jeff Davis,577,5403
Jefferson,770,5364
Jenkins,310,2875
Johnson,236,3380
Jones,549,9330
Lamar,818,7144
Lanier,535,3204
Laurens,2489,14908
Lee,819,9266
Liberty,2306,23940
Lincoln,485,2890
Long,669,6482
Lowndes,5218,38405
Lumpkin,1538,11401
McDuffie,832,7832
McIntosh,719,6162
Macon,669,4871
Madison,847,9594
Marion,467,3225
Meriwether,1100,8540
Miller,482,1783
Mitchell,1002,6901
Monroe,1244,8644
Montgomery,275,3397
Morgan,803,5613
Murray,1632,15470
Muscogee,7166,62430
Newton,3379,34928
Oconee,358,6980
Oglethorpe,123,4832
Paulding,3191,48929
Peach,714,7085
Pickens,1405,9671
Pierce,856,7617
Pike,530,6401
Polk,1665,14270
Pulaski,633,4946
Putnam,1255,7909
Quitman,306,1983
Rabun,759,6118
Randolph,478,2889
Richmond,7338,69403
Rockdale,2927,29966
Schley,176,2226
Screven,652,5583
Seminole,480,2901
Spalding,2595,23260
Stephens,1213,8439
Stewart,389,2671
Sumter,1145,9234
Talbot,443,2451
Taliaferro,486,1047
Tattnall,886,6624
Taylor,383,2888
Telfair,397,4232
Terrell,439,3514
Thomas,1431,13269
Tift,1335,12769
Toombs,963,8701
Towns,662,3840
Treutlen,391,2658
Troup,2358,22217
Turner,353,2980
Twiggs,444,2640
Union,680,5592
Upson,1197,10660
Walker,3258,26176
Walton,2300,26992
Ware,1376,11540
Warren,424,3128
Washington,725,6007
Wayne,1343,9690
Webster,302,1491
Wheeler,192,2147
White,1134,9273
Whitfield,4537,39149
Wilcox,360,2721
Wilkes,451,3825
Wilkinson,413,3794
Worth,859,7489
