,<0.36,<1.38
Appling,579,2250
Atkinson,473,1867
Bacon,242,874
Baker,71,344
Baldwin,1323,5192
Banks,511,2152
Barrow,1621,6777
Bartow,2317,10582
Ben Hill,809,2922
Berrien,515,1860
Bibb,4956,19468
Bleckley,168,607
Brantley,545,2541
Brooks,277,1002
Bryan,593,2366
Bulloch,1941,7582
Burke,1016,3671
Butts,398,1659
Calhoun,89,321
Camden,1435,5554
Candler,335,1427
Carroll,3254,13760
Catoosa,1526,6145
Charlton,168,609
Chatham,6182,25761
Chattahoochee,224,1261
Chattooga,717,3212
Cherokee,3516,14488
Clarke,3144,12149
Clay,299,1081
Clayton,9710,39407
Clinch,198,715
Cobb,14621,60935
Coffee,1398,5407
Colquitt,1673,6840
Columbia,1735,8235
Cook,660,2713
Coweta,2765,11311
Crawford,410,1629
Crisp,956,3455
Dade,403,1579
Dawson,576,2657
Decatur,1089,4297
DeKalb,17663,71365
Dodge,735,2968
Dooly,301,1364
Dougherty,4349,17444
Douglas,3832,15700
Early,438,1603
Echols,255,1308
Effingham,1048,4575
Elbert,523,2107
Emanuel,895,3499
Evans,363,1574
Fannin,490,1996
Fayette,1564,6374
Floyd,2782,11443
Forsyth,2082,8592
Franklin,650,2629
Fulton,20116,80414
Gilmer,893,3226
Glascock,36,130
Glynn,2534,9538
Gordon,1790,7413
Grady,977,3949
Greene,328,1186
Gwinnett,22753,100646
Habersham,876,3563
Hall,5986,24800
Hancock,110,408
Haralson,1129,4490
Harris,318,1174
Hart,600,2226
Heard,393,1421
Henry,5128,20762
Houston,3802,14995
Irwin,190,687
Jackson,1325,5443
Jasper,464,1677
Jeff Davis,685,2475
Jefferson,868,3258
Jenkins,627,2463
Johnson,143,553
Jones,597,2428
Lamar,447,1641
Lanier,394,1424
Laurens,1693,6847
Lee,494,1786
Liberty,2619,11208
Lincoln,269,1116
Long,679,3194
Lowndes,3783,15829
Lumpkin,675,2516
McDuffie,769,3079
McIntosh,406,1559
Macon,436,1939
Madison,582,2641
Marion,395,1591
Meriwether,512,2403
Miller,262,946
Mitchell,875,3175
Monroe,617,2556
Montgomery,406,1466
Morgan,480,1843
Murray,1347,6185
Muscogee,5782,24101
Newton,2919,12884
Oconee,331,1269
Oglethorpe,118,428
Paulding,3009,12914
Peach,748,2982
Pickens,613,2460
Pierce,624,2508
Pike,443,1767
Polk,1270,5322
Pulaski,232,1040
Putnam,707,3119
Quitman,50,183
Rabun,408,1608
Randolph,196,708
Richmond,6096,24501
Rockdale,2496,10316
Schley,123,445
Screven,353,1581
Seminole,246,913
Spalding,2095,8466
Stephens,605,2573
Stewart,207,750
Sumter,1377,5556
Talbot,264,1059
Taliaferro,73,323
Tattnall,924,3364
Taylor,310,1222
Telfair,757,3004
Terrell,410,1481
Thomas,1513,6001
Tift,1179,4557
Toombs,1192,4600
Towns,81,382
Treutlen,101,366
Troup,2559,9995
Turner,194,702
Twiggs,199,860
Union,512,1851
Upson,859,3264
Walker,1877,8860
Walton,2229,9087
Ware,1163,4773
Warren,156,566
Washington,522,2245
Wayne,895,3710
Webster,143,518
Wheeler,302,1092
White,686,2633
Whitfield,4600,19056
Wilcox,290,1167
Wilkes,268,1047
Wilkinson,158,572
Worth,652,2476
