,<0.36,<1.38
Appling,572,2245
Atkinson,506,1990
Bacon,254,920
Baker,37,235
Baldwin,1396,5466
Banks,531,2249
Barrow,1626,6844
Bartow,2352,10847
Ben Hill,810,2926
Berrien,447,1615
Bibb,5023,19732
Bleckley,120,436
Brantley,522,2523
Brooks,239,864
Bryan,574,2314
Bulloch,2048,7993
Burke,1057,3817
Butts,383,1599
Calhoun,75,274
Camden,1467,5663
Candler,326,1374
Carroll,3326,14141
Catoosa,1580,6316
Charlton,160,579
Chatham,6360,26319
Chattahoochee,212,1264
Chattooga,734,3368
Cherokee,3662,14967
Clarke,3283,12545
Clay,349,1261
Clayton,10145,40948
Clinch,197,711
Cobb,15397,64010
Coffee,1398,5290
Colquitt,1640,6755
Columbia,1764,8470
Cook,677,2784
Coweta,2874,11648
Crawford,418,1582
Crisp,950,3431
Dade,400,1523
Dawson,618,2920
Decatur,1126,4474
DeKalb,18246,73384
Dodge,797,3211
Dooly,254,1208
Dougherty,4500,18088
Douglas,4022,16390
Early,443,1628
Echols,276,1459
Effingham,1085,4690
Elbert,501,2015
Emanuel,896,3479
Evans,366,1617
Fannin,504,2012
Fayette,1708,6834
Floyd,2864,11698
Forsyth,2163,8933
Franklin,667,2680
Fulton,20793,83005
Gilmer,942,3403
Glascock,10,38
Glynn,2700,10032
Gordon,1851,7581
Grady,996,4061
Greene,280,1011
Gwinnett,23744,105480
Habersham,861,3416
Hall,6154,25558
Hancock,40,144
Haralson,1211,4878
Harris,311,1123
Hart,593,2141
Heard,369,1334
Henry,5469,21973
Houston,3998,15667
Irwin,194,702
Jackson,1311,5357
Jasper,476,1757
Jeff Davis,726,2624
Jefferson,936,3484
Jenkins,698,2751
Johnson,117,431
Jones,613,2504
Lamar,448,1642
Lanier,399,1443
Laurens,1720,6896
Lee,491,1774
Liberty,2638,11423
Lincoln,246,1102
Long,743,3580
Lowndes,3905,16340
Lumpkin,725,2632
McDuffie,812,3265
McIntosh,433,1640
Macon,445,1980
Madison,544,2548
Marion,428,1697
Meriwether,497,2367
Miller,269,971
Mitchell,872,3148
Monroe,640,2591
Montgomery,460,1663
Morgan,486,1816
Murray,1363,6378
Muscogee,5886,24702
Newton,3020,13322
Oconee,317,1204
Oglethorpe,77,280
Paulding,3143,13654
Peach,730,2879
Pickens,642,2484
Pierce,659,2689
Pike,467,1846
Polk,1246,5201
Pulaski,234,1085
Putnam,774,3414
Quitman,44,161
Rabun,418,1684
Randolph,176,638
Richmond,6028,24212
Rockdale,2627,10850
Schley,117,424
Screven,373,1685
Seminole,223,808
Spalding,2125,8626
Stephens,577,2508
Stewart,231,834
Sumter,1398,5669
Talbot,302,1196
Taliaferro,88,417
Tattnall,1008,3641
Taylor,292,1160
Telfair,815,3192
Terrell,412,1489
Thomas,1503,6011
Tift,1142,4362
Toombs,1211,4664
Towns,63,293
Treutlen,55,200
Troup,2652,10322
Turner,150,543
Twiggs,195,897
Union,551,1991
Upson,874,3312
Walker,1933,9195
Walton,2284,9275
Ware,1212,5020
Warren,155,560
Washington,494,2193
Wayne,899,3767
Webster,176,637
Wheeler,344,1244
White,617,2340
Whitfield,4792,19936
Wilcox,309,1268
Wilkes,278,1104
Wilkinson,132,478
Worth,654,2410
