,<0.36,<1.38
Appling,589,2283
Atkinson,423,1711
Bacon,220,804
Baker,115,490
Baldwin,1216,4811
Banks,478,2022
Barrow,1612,6699
Bartow,2259,10129
Ben Hill,799,2996
Berrien,600,2169
Bibb,4842,19027
Bleckley,235,849
Brantley,570,2522
Brooks,332,1218
Bryan,619,2454
Bulloch,1791,7045
Burke,957,3619
Butts,425,1750
Calhoun,102,370
Camden,1398,5421
Candler,343,1496
Carroll,3137,13147
Catoosa,1451,5910
Charlton,188,682
Chatham,5909,24883
Chattahoochee,237,1248
Chattooga,703,3047
Cherokee,3298,13735
Clarke,2941,11558
Clay,230,834
Clayton,9064,37081
Clinch,203,733
Cobb,13487,56405
Coffee,1388,5532
Colquitt,1707,6917
Columbia,1682,7858
Cook,633,2645
Coweta,2600,10782
Crawford,392,1667
Crisp,969,3551
Dade,406,1678
Dawson,521,2301
Decatur,1053,4083
DeKalb,16758,68139
Dodge,657,2619
Dooly,367,1583
Dougherty,4118,16463
Douglas,3558,14706
Early,425,1579
Echols,230,1118
Effingham,989,4396
Elbert,557,2242
Emanuel,885,3478
Evans,353,1506
Fannin,477,2012
Fayette,1371,5778
Floyd,2651,11028
Forsyth,1958,8081
Franklin,631,2531
Fulton,19069,76394
Gilmer,826,3071
Glascock,77,278
Glynn,2298,8835
Gordon,1699,7154
Grady,948,3773
Greene,388,1449
Gwinnett,21280,93556
Habersham,896,3753
Hall,5710,23530
Hancock,207,794
Haralson,1014,3988
Harris,324,1255
Hart,607,2396
Heard,419,1516
Henry,4629,18987
Houston,3521,14032
Irwin,190,689
Jackson,1334,5531
Jasper,450,1627
Jeff Davis,630,2277
Jefferson,769,2917
Jenkins,530,2076
Johnson,187,751
Jones,583,2376
Lamar,446,1680
Lanier,387,1402
Laurens,1632,6695
Lee,506,1892
Liberty,2580,10874
Lincoln,302,1158
Long,578,2639
Lowndes,3588,14997
Lumpkin,601,2341
McDuffie,718,2861
McIntosh,374,1478
Macon,424,1869
Madison,641,2796
Marion,351,1454
Meriwether,534,2451
Miller,251,906
Mitchell,878,3354
Monroe,595,2549
Montgomery,337,1219
Morgan,473,1890
Murray,1326,5945
Muscogee,5587,23057
Newton,2757,12181
Oconee,357,1397
Oglethorpe,185,683
Paulding,2800,11821
Peach,772,3079
Pickens,565,2429
Pierce,578,2275
Pike,412,1653
Polk,1297,5493
Pulaski,233,994
Putnam,618,2740
Quitman,71,256
Rabun,397,1509
Randolph,213,786
Richmond,6149,24739
Rockdale,2314,9547
Schley,131,475
Screven,327,1443
Seminole,278,1125
Spalding,2045,8220
Stephens,640,2652
Stewart,178,644
Sumter,1334,5358
Talbot,231,944
Taliaferro,59,220
Tattnall,805,3006
Taylor,337,1343
Telfair,676,2737
Terrell,402,1463
Thomas,1510,5957
Tift,1218,4774
Toombs,1161,4497
Towns,107,493
Treutlen,162,613
Troup,2415,9499
Turner,251,907
Twiggs,206,846
Union,457,1652
Upson,834,3186
Walker,1799,8376
Walton,2143,8778
Ware,1085,4420
Warren,166,600
Washington,555,2293
Wayne,895,3663
Webster,102,368
Wheeler,253,981
White,776,3029
Whitfield,4321,17819
Wilcox,268,1046
Wilkes,252,989
Wilkinson,199,766
Worth,640,2544
